CHEMICAL MASTER INVENTORY
DATE:	6/21/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	502.45	647.25	125.93	116.00	24.34	156.00	221	168	6840	1651
Centralia	0.00	270.00	260.00	122.00	20.00	129.00	160.00	84	159	10660	1814
Danville	122.50	275.00	346.75	64.00	150.00	111.00	59.00	176	82	20527	100
Decatur	0.00	249.00	258.00	126.00	70.00	41.00	55.00	117	36	10388	796
Dixon
0.00	60.00	159.00	110.00	0.00	55.00	130.00	168	206	10064	2486
East Moline	0.00	55.00	742.00	495.00	104.00	605.00	55.00	6	426	25580	1216
Graham	0.00	206.50	457.25	150.50	95.00	20.50	182.75	288	108	8048	1697
Hill	0.00	216.00	535.00	110.00	55.00	110.00	90.00	126	189	11800	2646
Illinois River	10.00	275.00	285.00	165.00	0.00	110.00	110.00	132	90	6300	1904
Jacksonville
0.00	275.00	126.50	141.00	156.75	174.00	55.00	432	52	15586	1191
Pittsfield WC	0.00	0.00	77.50	5.25	161.50	20.00	0.00	34	0	3949	95
JTC	0.00	137.00	304.00	114.00	0.00	100.00	97.00	0	264	9057	1015
Elgin	0.00	0.00	75.00	20.00	0.00	0.00	54.00	12	20	2400	464
Kewanee	0.00	243.00	369.00	152.00	96.00	57.00	102.00	18	96	8640	952
Lawrence
3.75	128.00	301.00	110.00	0.00	398.00	104.00	215	283	10204	1809
Lincoln	4.25	275.00	204.00	177.00	15.00	175.00	58.00	36	162	14400	1480
Logan	1.00	0.00	394.00	4.00	0.00	4.00	220.00	0	0	9280	2931
Menard	0.00	275.00	478.00	147.00	0.00	150.00	108.00	179	133	15571	3395
Pinckneyville	49.00	214.00	750.00	220.00	0.00	305.00	220.00	0	51	13959	1781
Murphysboro
0.00	245.00	102.00	2.00	30.00	200.00	202.00	23	138	2400	257
Pontiac	0.00	275.00	437.00	126.00	57.00	83.00	116.00	96	168	7420	3356
Robinson	4.00	275.00	421.00	110.00	20.00	40.00	63.00	0	0	9080	1417
Shawnee	40.00	275.00	318.00	110.00	24.00	70.00	90.00	0	153	7336	1771
Sheridan	0.00	275.00	339.00	110.00	0.00	110.00	135.00	204	44	10276	2274
SWICC
0.00	225.00	237.00	159.00	21.00	39.00	55.00	0	0	8966	1155
Stateville	2.00	245.00	28.00	86.50	166.00	0.00	46.00	595	141	2961	29
Stateville NRC	0.00	220.00	480.00	134.00	60.00	5.00	880.00	35	78	23568	828
Taylorville	3.00	135.00	255.00	172.00	0.00	98.00	156.00	77	138	17232	1360
Vandalia	0.00	275.00	374.00	110.00	85.00	101.00	145.00	0	36	22320	1795
Vienna
8.25	247.00	236.00	98.00	10.00	84.00	84.00	0	166	10000	1498
Dixon Springs IIP	0.00	1.75	42.75	0.00	0.00	7.00	0.00	7	0	2344	141
Western Illinois	2.00	260.00	1412.00	120.00	275.00	405.00	114.00	185	158	4447	1532
Fox Valley ATC	0.00	0.00	368.00	0.00	0.00	0.00	0.00	7	3	1188	209
Peoria ATC
0.00	0.00	270.00	0.00	0.00	4.00	4.00	7	0	1394	154
 

