CHEMICAL MASTER INVENTORY
DATE:	7/20/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	30.00	474.95	606.00	120.93	17.00	19.34	156.00	221	156	12040	1585
Centralia	2.00	270.00	142.00	55.00	20.00	91.00	160.00	84	159	10800	1539
Danville	132.50	275.00	241.75	14.00	150.00	111.00	59.00	176	82	14765	96
Decatur	14.00	224.00	198.00	126.00	52.00	30.00	55.00	112	36	10328	756
Dixon
37.00	0.00	361.00	110.00	0.00	55.00	130.00	168	206	10401	2386
East Moline	62.00	95.00	401.00	407.00	104.00	463.00	42.00	6	414	19300	1101
Graham	25.00	146.25	380.25	133.00	82.50	58.50	182.75	258	108	3948	1680
Hill	22.00	216.00	372.00	110.00	0.00	55.00	85.00	126	189	8700	2642
Illinois River	85.68	275.00	156.00	165.00	0.00	110.00	110.00	132	87	3800	1868
Jacksonville
10.00	275.00	1000.50	353.50	151.75	174.00	55.00	431	52	13286	1098
Pittsfield WC	0.00	0.00	50.50	12.75	166.00	20.00	0.00	34	0	2414	93
JTC	19.00	78.00	265.00	105.00	0.00	100.00	86.00	0	245	7700	855
Elgin	5.00	0.00	80.00	15.00	0.00	0.00	52.00	11	20	2543	450
Kewanee	18.50	223.00	349.00	145.00	85.00	55.00	91.00	18	72	7540	932
Lawrence
33.75	0.00	217.00	110.00	0.00	358.00	104.00	215	274	3788	1721
Lincoln	28.00	265.00	48.00	173.00	0.00	170.00	59.00	18	150	13600	1470
Logan	36.00	0.00	441.00	0.00	0.00	4.00	220.00	0	0	6280	2814
Menard	25.00	249.00	234.00	139.50	0.00	142.00	103.00	174	74	16052	3358
Pinckneyville	79.00	214.00	672.00	220.00	0.00	285.00	110.00	0	51	14179	1713
Murphysboro
11.00	225.00	121.00	2.00	30.00	195.00	189.00	20	132	3200	207
Pontiac	50.00	275.00	372.00	124.00	56.00	63.00	115.00	90	108	5550	3302
Robinson	23.00	275.00	391.00	110.00	15.00	40.00	45.00	0	0	11480	1417
Shawnee	46.00	275.00	300.00	110.00	24.00	70.00	84.00	0	151	9876	1729
Sheridan	16.00	275.00	280.00	55.00	0.00	110.00	110.00	197	0	13705	2064
SWICC
31.00	182.00	210.00	159.00	13.00	32.00	55.00	0	0	10560	1130
Stateville	15.00	204.00	0.00	31.50	120.00	0.00	46.00	486	125	3000	5
Stateville NRC	56.00	185.00	9.00	64.00	41.00	5.00	880.00	24	60	22068	680
Taylorville	3.00	68.00	410.00	172.00	0.00	90.00	147.00	77	138	15016	1335
Vandalia	25.00	275.00	284.00	110.00	85.00	22.00	113.00	0	0	16120	1791
Vienna
35.50	228.00	112.00	98.00	9.00	60.00	58.00	3	153	11944	1585
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	17.00	260.00	1364.00	120.00	270.00	320.00	64.00	185	158	3273	1499
Fox Valley ATC	15.00	0.00	361.00	0.00	0.00	0.00	0.00	7	3	1622	209
Peoria ATC
10.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1491	130
 

