CHEMICAL MASTER INVENTORY
DATE:	7/23/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	30.00	470.45	600.00	120.18	14.00	18.34	156.00	221	156	10040	1579
Centralia	2.00	270.00	131.00	55.00	20.00	91.00	160.00	84	159	8600	1524
Danville	132.50	275.00	220.25	12.50	150.00	111.00	59.00	176	82	13350	96
Decatur	14.00	221.00	177.00	126.00	52.00	29.00	55.00	107	36	9808	752
Dixon
37.00	0.00	361.00	110.00	0.00	55.00	130.00	168	206	9401	2384
East Moline	55.00	95.00	323.00	338.00	104.00	353.00	42.00	6	390	15780	1091
Graham	25.00	141.50	371.25	130.50	80.00	57.00	182.75	258	108	3948	1676
Hill	22.00	216.00	348.00	110.00	0.00	55.00	85.00	126	187	16800	2642
Illinois River	85.68	275.00	156.00	165.00	0.00	110.00	110.00	132	87	3800	1863
Jacksonville
10.00	275.00	999.00	329.50	152.75	174.00	55.00	431	52	13286	1098
Pittsfield WC	0.00	0.00	52.00	12.00	165.00	20.00	0.00	34	0	2306	93
JTC	19.00	78.00	256.00	104.00	0.00	100.00	85.00	0	241	7700	851
Elgin	11.00	0.00	79.00	13.00	0.00	0.00	52.00	11	20	2533	447
Kewanee	18.00	221.00	347.00	145.00	85.00	55.00	88.00	18	72	7140	930
Lawrence
33.75	0.00	217.00	110.00	0.00	358.00	104.00	215	274	11228	1699
Lincoln	28.00	265.00	822.00	173.00	0.00	170.00	59.00	18	138	13600	1470
Logan	36.00	0.00	383.00	0.00	0.00	4.00	220.00	0	0	6080	2814
Menard	25.00	247.00	365.00	133.50	0.00	120.00	103.00	171	108	13518	3356
Pinckneyville	79.00	159.00	1076.00	165.00	0.00	230.00	110.00	0	51	10913	1704
Murphysboro
9.00	215.00	121.00	10.00	30.00	195.00	189.00	20	132	3200	199
Pontiac	50.00	275.00	370.00	124.00	55.00	60.00	115.00	90	102	4350	3297
Robinson	23.00	275.00	388.00	110.00	11.00	40.00	42.00	0	0	9880	1417
Shawnee	42.00	275.00	300.00	110.00	24.00	70.00	84.00	0	151	9876	1711
Sheridan	16.00	275.00	280.00	55.00	0.00	110.00	110.00	197	0	12305	2064
SWICC
27.00	173.00	194.00	159.00	12.00	32.00	55.00	0	0	10560	1128
Stateville	13.00	200.00	50.00	31.50	111.00	0.00	44.00	475	116	1875	5
Stateville NRC	53.00	180.00	22.00	58.00	41.00	5.00	880.00	24	53	20768	662
Taylorville	3.00	68.00	381.00	172.00	0.00	90.00	147.00	77	138	13576	1335
Vandalia	22.00	275.00	271.00	110.00	85.00	16.00	97.00	0	0	15120	1785
Vienna
35.00	224.00	916.00	98.00	9.00	56.00	58.00	3	93	6720	1583
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	17.00	260.00	1352.00	120.00	265.00	310.00	59.00	185	158	3073	1492
Fox Valley ATC	15.00	0.00	360.00	0.00	0.00	0.00	0.00	7	3	1584	209
Peoria ATC
10.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1491	126
 

