CHEMICAL MASTER INVENTORY
DATE:	6/9/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	515.45	354.75	126.93	143.00	24.34	46.00	221	168	4040	1686
Centralia	0.00	270.00	266.00	122.00	20.00	130.00	50.00	84	159	9660	1850
Danville	122.50	275.00	378.75	33.00	150.00	109.00	59.00	176	82	20427	108
Decatur	0.00	256.00	284.00	138.00	75.00	50.00	55.00	117	36	10388	809
Dixon
1.00	155.00	263.00	110.00	0.00	110.00	130.00	168	206	20000	2506
East Moline	0.00	275.00	837.00	605.00	104.00	770.00	55.00	6	450	29580	1303
Graham	0.00	228.00	455.75	158.75	100.00	28.75	74.25	288	108	11448	1697
Hill	0.00	216.00	535.00	110.00	55.00	110.00	90.00	126	189	7200	2692
Illinois River	10.07	275.00	318.00	110.00	0.00	110.00	110.00	132	93	5900	1919
Jacksonville
0.00	275.00	216.00	218.00	158.25	174.00	55.00	432	52	15886	1193
Pittsfield WC	0.00	0.00	92.50	6.75	167.25	23.00	0.00	37	0	5334	138
JTC	0.00	170.00	312.00	117.00	0.00	100.00	107.00	0	274	9273	1088
Elgin	0.00	0.00	73.00	20.00	0.00	1.00	55.00	12	20	2471	469
Kewanee	0.00	252.00	370.00	153.00	99.00	59.00	105.00	24	102	8640	963
Lawrence
3.75	140.00	349.00	110.00	0.00	406.00	104.00	215	283	9528	1893
Lincoln	4.25	275.00	294.00	177.00	35.00	180.00	58.00	48	162	16500	1495
Logan	1.00	275.00	462.00	114.00	55.00	0.00	55.00	0	0	11480	2939
Menard	0.00	275.00	531.00	157.00	0.00	123.50	107.50	183	154	4507	3415
Pinckneyville	51.00	210.00	792.00	220.00	0.00	320.00	220.00	0	51	9760	1796
Murphysboro
0.00	260.00	108.00	2.00	30.00	210.00	207.00	24	127	1800	281
Pontiac	0.00	275.00	443.00	130.00	61.00	91.00	117.00	96	191	8820	3363
Robinson	4.00	275.00	421.00	110.00	20.00	45.00	73.00	0	0	3880	1419
Shawnee	46.00	275.00	390.00	110.00	24.00	70.00	90.00	25	153	6436	1789
Sheridan	0.00	275.00	376.00	140.00	0.00	110.00	135.00	204	44	4976	2310
SWICC
0.00	239.00	210.00	159.00	28.00	41.00	55.00	0	0	7760	1155
Stateville	2.00	245.00	22.00	120.00	180.00	25.00	46.00	620	141	8561	105
Stateville NRC	0.00	225.00	673.00	150.00	68.00	5.00	880.00	43	78	26833	851
Taylorville	3.00	185.00	286.00	172.00	0.00	98.00	47.00	77	138	20672	1397
Vandalia	0.00	275.00	386.00	110.00	85.00	130.00	21.00	26	60	20320	1809
Vienna
8.75	252.00	273.00	106.00	10.00	16.00	94.00	0	190	8000	1536
Dixon Springs IIP	0.00	2.25	44.25	0.00	0.00	7.50	0.00	7	0	2388	145
Western Illinois	2.00	260.00	1451.00	120.00	275.00	470.00	129.00	186	158	11047	1585
Fox Valley ATC	0.00	0.00	371.00	0.00	0.00	0.00	0.00	7	3	424	209
Peoria ATC
0.00	0.00	273.00	0.00	0.00	5.00	5.00	8	0	1505	158
 

