CHEMICAL MASTER INVENTORY
DATE:	7/8/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	15.00	487.20	623.50	122.93	74.00	24.34	156.00	221	162	9640	1601
Centralia	2.00	270.00	172.00	110.00	20.00	99.00	160.00	84	159	6200	1624
Danville	132.50	275.00	280.75	28.00	150.00	111.00	59.00	176	82	17627	96
Decatur	5.00	231.00	211.00	126.00	61.00	34.00	55.00	114	36	9328	762
Dixon
15.00	0.00	23.00	110.00	0.00	55.00	130.00	168	206	6020	2455
East Moline	35.00	151.00	497.00	425.00	104.00	546.00	42.00	6	414	21300	1127
Graham	10.00	169.00	412.75	140.75	88.25	10.75	182.75	276	108	3548	1697
Hill	0.00	216.00	613.00	165.00	0.00	0.00	42.00	126	190	2600	544
Illinois River	85.68	275.00	204.00	165.00	0.00	110.00	110.00	132	87	3300	1877
Jacksonville
10.00	275.00	11.50	28.00	153.25	174.00	55.00	431	52	14086	1140
Pittsfield WC	0.00	0.00	63.50	14.00	167.00	24.00	0.00	34	0	2614	93
JTC	10.00	105.00	293.00	109.00	0.00	100.00	94.00	0	250	8098	937
Elgin	5.00	0.00	67.00	17.00	0.00	0.00	52.00	12	20	2361	454
Kewanee	4.00	230.00	360.00	147.00	88.00	57.00	98.00	18	84	7440	937
Lawrence
18.75	0.00	259.00	110.00	0.00	358.00	104.00	215	274	7360	1743
Lincoln	13.75	271.00	30.00	173.00	0.00	170.00	58.75	24	150	11600	1480
Logan	21.00	0.00	498.00	0.00	0.00	4.00	220.00	0	0	6520	2826
Menard	25.00	257.00	357.50	128.00	0.00	140.00	104.00	182	89	10828	3371
Pinckneyville	64.00	214.00	714.00	220.00	0.00	295.00	165.00	0	51	13014	1765
Murphysboro
5.00	235.00	86.00	2.00	30.00	195.00	189.00	20	132	2600	225
Pontiac	20.00	275.00	397.00	124.00	57.00	75.00	115.00	90	132	6300	3323
Robinson	14.00	275.00	404.00	110.00	15.00	40.00	54.00	0	0	10280	1417
Shawnee	49.00	275.00	300.00	110.00	24.00	70.00	84.00	0	151	5476	1732
Sheridan	5.00	275.00	316.00	140.00	0.00	110.00	135.00	197	44	14651	2253
SWICC
8.00	199.00	225.00	159.00	15.00	35.00	55.00	0	0	10160	1130
Stateville	22.00	220.00	0.00	46.50	150.00	0.00	46.00	527	130	1261	5
Stateville NRC	0.00	190.00	95.00	89.00	41.00	5.00	880.00	25	78	25368	730
Taylorville	3.00	106.00	210.00	172.00	0.00	98.00	147.00	77	138	15801	1335
Vandalia	10.00	275.00	312.00	110.00	85.00	52.00	129.00	0	0	17920	1795
Vienna
22.00	235.00	120.00	98.00	2.00	60.00	58.00	0	153	6600	1450
Dixon Springs IIP	0.00	1.50	40.00	0.00	0.00	7.00	0.00	7	0	2344	137
Western Illinois	2.00	260.00	1364.00	120.00	275.00	360.00	69.00	185	158	2543	1510
Fox Valley ATC	0.00	0.00	363.00	0.00	0.00	0.00	0.00	7	3	1062	209
Peoria ATC
5.00	2.00	262.00	0.00	0.00	3.00	2.00	3	0	1314	141
 

