CHEMICAL MASTER INVENTORY
DATE:	8/12/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	61.00	442.20	568.75	110.18	1.00	17.34	156.00	221	156	14340	1508
Centralia	2.00	270.00	598.00	55.00	20.00	213.00	160.00	83	159	7000	1460
Danville	151.50	275.00	0.00	0.00	150.00	111.00	59.00	376	353	11775	96
Decatur	23.00	202.00	125.00	126.00	52.00	15.00	55.00	97	36	9668	750
Dixon
116.00	0.00	199.00	110.00	0.00	55.00	130.00	168	206	686	2377
East Moline	65.00	0.00	714.00	709.00	103.00	903.00	0.00	0	330	7780	1052
Graham	26.00	101.25	308.00	110.25	63.75	42.50	182.75	258	108	14948	1663
Hill	37.00	216.00	254.00	55.00	0.00	55.00	85.00	126	187	13600	2586
Illinois River	85.68	275.00	70.00	165.00	0.00	110.00	110.00	132	84	7000	1849
Jacksonville
29.50	275.00	975.00	465.00	144.25	366.00	52.00	431	52	29136	1055
Pittsfield WC	4.00	0.00	34.00	8.00	163.25	16.00	0.00	34	0	2806	91
JTC	25.00	37.00	213.00	97.00	0.00	88.00	71.00	0	223	7496	704
Elgin	15.00	0.00	68.00	26.00	0.00	28.00	52.00	11	44	2392	442
Kewanee	28.00	213.00	335.00	143.00	84.00	54.00	85.00	18	62	8840	921
Lawrence
63.75	0.00	115.00	110.00	0.00	358.00	104.00	215	274	18506	1655
Lincoln	47.25	253.00	708.00	150.00	270.00	160.00	59.00	18	138	13600	1445
Logan	0.00	0.00	193.00	0.00	0.00	4.00	220.00	120	0	15200	2789
Menard	57.00	210.00	317.50	238.50	0.00	108.50	96.00	156	48	15650	3307
Pinckneyville	79.00	159.00	992.00	165.00	0.00	180.00	110.00	0	51	13679	1652
Murphysboro
12.00	200.00	97.00	10.00	25.00	185.00	189.00	18	131	5000	166
Pontiac	82.00	275.00	332.00	124.00	51.00	40.00	115.00	90	66	16900	3234
Robinson	48.00	273.00	366.00	110.00	11.00	40.00	32.00	0	24	8380	1413
Shawnee	36.00	275.00	762.00	110.00	24.00	144.00	65.00	204	126	7476	1703
Sheridan	52.00	275.00	244.00	55.00	0.00	55.00	110.00	150	0	11280	2065
SWICC
30.00	142.00	117.00	159.00	4.00	132.00	55.00	0	0	12560	1128
Stateville	6.00	162.00	0.00	22.50	75.00	0.00	43.00	458	108	725	5
Stateville NRC	48.00	165.00	0.00	110.00	110.00	1.00	880.00	20	45	24668	640
Taylorville	3.00	28.00	291.00	165.00	0.00	80.00	135.00	77	138	11212	1302
Vandalia	42.00	260.00	211.00	110.00	85.00	39.00	76.00	20	0	14020	1774
Vienna
62.00	215.00	846.00	90.00	5.00	208.00	58.00	3	227	8320	1507
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	20.00	220.00	1273.00	120.00	255.00	610.00	169.00	179	158	12954	1462
Fox Valley ATC	22.00	0.00	357.00	0.00	0.00	0.00	0.00	7	3	1494	202
Peoria ATC
15.00	2.00	258.00	0.00	0.00	2.00	2.00	3	0	1860	97
 

