CHEMICAL MASTER INVENTORY
DATE:	7/29/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	30.00	463.45	592.75	118.93	8.00	18.34	156.00	221	156	10040	1554
Centralia	2.00	270.00	632.00	55.00	20.00	70.00	160.00	83	159	6400	1452
Danville	132.50	275.00	195.25	10.50	150.00	111.00	59.00	176	82	13350	96
Decatur	14.00	218.00	164.00	126.00	52.00	25.00	55.00	101	36	9468	788
Dixon
77.00	0.00	327.00	110.00	0.00	55.00	130.00	168	206	12041	2384
East Moline	55.00	95.00	254.00	283.00	104.00	353.00	42.00	6	342	13780	1086
Graham	45.00	130.00	352.25	126.50	73.75	52.25	182.75	258	108	9948	1675
Hill	42.00	216.00	240.00	110.00	0.00	55.00	85.00	126	187	19400	2642
Illinois River	105.68	275.00	132.00	165.00	0.00	110.00	110.00	132	87	6800	1863
Jacksonville
10.00	275.00	1007.00	325.00	154.75	174.00	55.00	431	52	12486	1091
Pittsfield WC	0.00	0.00	51.50	9.50	166.25	20.00	0.00	34	0	2306	93
JTC	19.00	58.00	240.00	103.00	0.00	100.00	80.00	0	239	7700	811
Elgin	11.00	0.00	75.00	12.00	0.00	0.00	52.00	11	20	2533	447
Kewanee	29.50	217.00	344.00	144.00	85.00	55.00	86.00	18	69	7740	928
Lawrence
33.75	0.00	175.00	110.00	0.00	358.00	104.00	215	274	11228	1697
Lincoln	48.00	263.00	810.00	173.00	0.00	165.00	59.00	18	138	13600	1458
Logan	40.00	0.00	329.00	0.00	0.00	4.00	220.00	0	0	13580	2803
Menard	25.00	234.00	281.00	248.50	0.00	136.00	101.00	166	89	9649	3346
Pinckneyville	79.00	159.00	1076.00	165.00	0.00	230.00	110.00	0	51	10913	1679
Murphysboro
9.00	215.00	121.00	10.00	30.00	195.00	189.00	20	132	3000	191
Pontiac	82.00	275.00	357.00	124.00	55.00	55.00	115.00	90	90	12450	3250
Robinson	23.00	275.00	385.00	110.00	11.00	40.00	41.00	0	0	9880	1417
Shawnee	39.00	275.00	264.00	110.00	24.00	70.00	84.00	0	149	5176	1689
Sheridan	48.00	275.00	280.00	55.00	0.00	110.00	110.00	183	0	12405	2082
SWICC
43.00	163.00	130.00	159.00	12.00	140.00	55.00	0	0	11560	1128
Stateville	9.00	200.00	32.00	31.50	99.00	0.00	44.00	460	110	1875	5
Stateville NRC	60.00	180.00	22.00	41.00	35.00	5.00	880.00	24	49	25768	650
Taylorville	3.00	36.00	352.00	172.00	0.00	90.00	135.00	77	138	13212	1302
Vandalia	42.00	275.00	258.00	110.00	85.00	83.00	86.00	28	0	14920	1785
Vienna
35.00	224.00	892.00	94.00	9.00	32.00	58.00	3	93	3320	1577
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	27.00	250.00	1334.00	120.00	265.00	290.00	59.00	179	158	12000	1483
Fox Valley ATC	15.00	0.00	359.00	0.00	0.00	0.00	0.00	7	3	1556	209
Peoria ATC
10.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1491	126
 

