CHEMICAL MASTER INVENTORY
DATE:	6/7/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	517.20	359.25	126.93	149.00	24.34	46.00	221	168	4040	1686
Centralia	0.00	270.00	274.00	122.00	20.00	130.00	50.00	84	159	9660	1850
Danville	122.50	275.00	385.75	39.00	150.00	109.00	59.00	176	82	20427	108
Decatur	0.00	258.00	289.00	138.00	76.00	50.00	55.00	117	36	10388	809
Dixon	1.00	155.00	284.00	110.00	0.00	110.00	130.00	174	206	20000	2545
East Moline	0.00	275.00	845.00	605.00	104.00	770.00	55.00	6	462	29580	1319
Graham	0.00	232.00	461.75	160.75	100.00	30.25	75.75	288	108	13948	1697
Hill	0.00	216.00	547.00	165.00	55.00	110.00	95.00	126	189	7400	2692
Illinois River	10.07	275.00	360.00	110.00	0.00	110.00	110.00	132	93	5900	1920
Jacksonville	0.00	275.00	232.00	0.00	158.25	174.00	55.00	432	52	15886	1230
Pittsfield WC	0.00	0.00	90.75	7.00	167.25	23.00	0.00	37	0	5334	138
JTC	0.00	170.00	325.00	119.00	0.00	100.00	112.00	0	275	9547	1116
Elgin	0.00	0.00	75.00	20.00	0.00	1.00	56.00	12	20	2488	472
Kewanee	0.00	255.00	373.00	153.00	99.00	59.00	106.00	24	102	8640	966
Lawrence	3.75	256.50	349.00	110.00	0.00	406.00	104.00	215	283	9528	1919
Lincoln	4.25	275.00	240.00	122.00	35.00	185.00	58.00	48	162	16500	1496
Logan	1.00	275.00	511.00	114.00	0.00	0.00	55.00	0	0	12480	2940
Menard	0.00	275.00	564.00	157.00	0.00	137.50	107.50	184	154	4507	3418
Pinckneyville	51.00	210.00	930.00	275.00	0.00	475.00	220.00	0	51	9760	1796
Murphysboro	0.00	260.00	78.00	2.00	30.00	210.00	207.00	25	127	2000	285
Pontiac	0.00	275.00	443.00	130.00	61.00	100.00	117.00	96	202	10460	3366
Robinson	4.00	275.00	431.00	110.00	25.00	50.00	76.00	0	0	5680	1419
Shawnee	46.00	275.00	390.00	110.00	24.00	70.00	90.00	25	153	6436	1789
Sheridan	0.00	275.00	376.00	140.00	0.00	110.00	135.00	204	44	4976	2405
SWICC	0.00	243.00	210.00	159.00	28.00	41.00	55.00	0	0	7760	1166
Stateville	2.00	250.00	51.00	126.00	180.00	28.00	46.00	620	141	8561	120
Stateville NRC	0.00	240.00	724.00	167.00	72.00	5.00	880.00	43	78	26833	855
Taylorville	3.00	185.00	310.00	172.00	0.00	98.00	47.00	77	138	21392	1397
Vandalia	0.00	275.00	400.00	110.00	85.00	148.00	49.00	34	60	20320	1809
Vienna	9.00	252.00	273.00	106.00	10.00	16.00	94.00	0	190	12000	1540
Dixon Springs IIP	0.00	2.25	45.00	0.00	0.00	7.50	0.00	7	0	2410	145
Western Illinois	2.00	260.00	1505.00	120.00	280.00	495.00	134.00	186	164	16023	1604
Fox Valley ATC	0.00	0.00	373.00	0.00	0.00	0.00	0.00	7	3	424	209
Peoria ATC
0.00	0.00	273.00	0.00	0.00	5.00	5.00	8	0	1520	165
 

