CHEMICAL MASTER INVENTORY
DATE:	6/23/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	500.70	645.00	125.43	110.00	24.34	156.00	221	168	6840	1601
Centralia	0.00	270.00	260.00	122.00	20.00	129.00	160.00	84	159	10660	1749
Danville	122.50	275.00	339.75	58.00	150.00	111.00	59.00	176	82	20527	100
Decatur	0.00	246.00	248.00	126.00	70.00	40.00	55.00	117	36	10388	796
Dixon
0.00	60.00	159.00	110.00	0.00	55.00	130.00	168	206	10064	2478
East Moline	0.00	0.00	729.00	495.00	104.00	605.00	42.00	6	426	25580	1109
Graham	0.00	201.50	450.75	149.00	94.25	19.50	182.75	288	108	8048	1697
Hill	0.00	216.00	511.00	110.00	55.00	110.00	90.00	126	189	11800	2643
Illinois River	10.00	275.00	270.00	165.00	0.00	110.00	110.00	132	90	6300	1899
Jacksonville
0.00	275.00	119.00	130.50	156.25	174.00	55.00	432	52	15586	1191
Pittsfield WC	0.00	0.00	83.50	5.25	161.50	20.00	0.00	34	0	3949	95
JTC	0.00	134.00	303.00	113.00	0.00	100.00	97.00	0	264	8726	1015
Elgin	0.00	0.00	73.00	20.00	0.00	0.00	54.00	12	20	2400	464
Kewanee	0.00	241.00	368.00	150.00	94.00	57.00	101.00	18	96	8640	952
Lawrence
3.75	114.00	301.00	110.00	0.00	398.00	104.00	215	283	10204	1809
Lincoln	4.25	275.00	198.00	173.00	15.00	170.00	58.00	36	162	14400	1480
Logan	1.00	0.00	379.00	4.00	0.00	4.00	220.00	0	0	9280	2826
Menard	0.00	271.00	444.00	140.50	0.00	139.50	106.00	179	130	14871	3394
Pinckneyville	49.00	214.00	750.00	220.00	0.00	305.00	220.00	0	51	13959	1776
Murphysboro
0.00	245.00	102.00	2.00	30.00	200.00	202.00	23	138	2400	253
Pontiac	0.00	275.00	430.00	126.00	57.00	83.00	116.00	95	162	6020	3347
Robinson	4.00	275.00	419.00	110.00	20.00	40.00	60.00	0	0	9080	1417
Shawnee	40.00	275.00	318.00	110.00	24.00	70.00	90.00	0	153	7336	1771
Sheridan	0.00	275.00	339.00	110.00	0.00	110.00	135.00	204	44	8776	2274
SWICC
0.00	225.00	237.00	159.00	21.00	38.00	55.00	0	0	8960	1146
Stateville	2.00	240.00	1.00	76.50	164.00	0.00	46.00	594	139	2961	24
Stateville NRC	0.00	215.00	461.00	132.00	60.00	5.00	880.00	34	78	23568	820
Taylorville	3.00	131.00	255.00	172.00	0.00	98.00	150.00	77	138	17232	1360
Vandalia	0.00	275.00	364.00	110.00	85.00	93.00	145.00	0	32	20720	1795
Vienna
7.75	243.00	199.00	98.00	6.00	72.00	74.00	0	166	8400	1462
Dixon Springs IIP	0.00	1.50	42.50	0.00	0.00	7.00	0.00	7	0	2344	141
Western Illinois	2.00	260.00	1388.00	120.00	275.00	365.00	84.00	185	158	1247	1527
Fox Valley ATC	0.00	0.00	366.00	0.00	0.00	0.00	0.00	7	3	1188	209
Peoria ATC
0.00	0.00	270.00	0.00	0.00	4.00	4.00	7	0	1394	154
 

