CHEMICAL MASTER INVENTORY
DATE:	6/2/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	522.25	372.75	126.93	162.00	24.34	46.00	221	168	4040	1686
Centralia	0.00	270.00	278.00	122.00	0.00	134.00	50.00	84	159	9960	1850
Danville	122.50	275.00	396.25	48.00	150.00	109.00	59.00	176	117	21792	115
Decatur	0.00	260.00	302.00	138.00	78.00	55.00	55.00	114	36	10388	809
Dixon
1.00	210.00	326.00	220.00	0.00	165.00	130.00	174	206	30680	2554
East Moline	0.00	275.00	873.00	660.00	104.00	770.00	55.00	6	474	31580	1356
Graham	0.00	244.00	474.25	166.50	100.00	33.25	23.75	288	108	10348	1697
Hill	0.00	216.00	607.00	165.00	55.00	110.00	40.00	126	189	5800	2694
Illinois River	10.19	275.00	372.00	110.00	0.00	110.00	110.00	132	93	5700	1925
Jacksonville
0.00	0.00	175.00	185.50	167.00	176.00	55.00	438	52	13506	100
Pittsfield WC	0.00	0.00	126.25	18.50	178.50	20.00	0.00	37	0	3176	42
JTC	0.00	186.00	334.00	120.00	0.00	100.00	117.00	0	276	9547	1130
Elgin	0.00	0.00	81.00	18.00	0.00	3.00	58.00	12	21	2490	475
Kewanee	0.00	257.00	374.00	154.00	99.00	59.00	106.00	24	102	8640	968
Lawrence
3.75	256.50	349.00	110.00	0.00	406.00	104.00	215	283	13203	1930
Lincoln	4.25	275.00	240.00	122.00	35.00	185.00	58.00	48	162	16700	1506
Logan	1.00	275.00	513.00	114.00	0.00	0.00	55.00	0	0	12080	2945
Menard	0.00	275.00	334.00	157.50	0.00	156.50	107.50	190	159	3974	3422
Pinckneyville	51.00	210.00	930.00	275.00	0.00	475.00	220.00	0	51	11968	1798
Murphysboro
0.00	270.00	84.00	2.00	30.00	210.00	207.00	26	127	2200	294
Pontiac	0.00	275.00	447.00	130.00	61.00	105.00	117.00	96	206	10460	3372
Robinson	4.00	275.00	433.00	110.00	25.00	50.00	78.00	0	0	3480	1419
Shawnee	46.00	275.00	390.00	110.00	24.00	70.00	90.00	25	153	3236	1789
Sheridan	0.00	275.00	412.00	140.00	0.00	110.00	135.00	204	44	6476	2419
SWICC
0.00	249.00	276.00	159.00	31.00	43.00	55.00	0	0	8960	1166
Stateville	2.00	250.00	52.00	89.00	125.00	46.00	46.00	620	141	9716	120
Stateville NRC	0.00	245.00	930.00	295.00	153.00	42.00	880.00	44	78	31300	867
Taylorville	3.00	215.00	326.00	172.00	0.00	98.00	47.00	77	138	20992	1397
Vandalia	0.00	275.00	405.00	110.00	85.00	158.00	49.00	42	60	18320	1809
Vienna
9.00	256.00	371.00	106.00	10.00	20.00	94.00	36	190	10200	1546
Dixon Springs IIP	0.00	2.50	45.25	0.00	0.00	7.50	0.00	7	0	2432	145
Western Illinois	2.00	260.00	1517.00	120.00	280.00	515.00	134.00	186	164	16023	1622
Fox Valley ATC	0.00	0.00	373.00	0.00	0.00	0.00	0.00	7	3	460	209
Peoria ATC
0.00	0.00	273.00	0.00	0.00	5.00	5.00	8	0	1520	165
 

