CHEMICAL MASTER INVENTORY
DATE:	6/16/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	509.20	354.50	125.93	122.00	24.34	156.00	221	168	4240	1651
Centralia	0.00	270.00	272.00	122.00	20.00	130.00	160.00	84	159	10460	1814
Danville	122.50	275.00	357.25	73.00	150.00	111.00	59.00	176	82	20527	108
Decatur	0.00	252.00	270.00	138.00	73.00	45.00	55.00	117	36	10388	798
Dixon
0.00	104.00	254.00	110.00	0.00	110.00	130.00	168	206	20000	2489
East Moline	0.00	97.00	766.00	605.00	104.00	715.00	55.00	6	438	27580	1241
Graham	0.00	214.00	466.75	153.50	96.75	23.25	182.75	288	108	12048	1697
Hill	0.00	216.00	535.00	110.00	55.00	110.00	90.00	126	189	11800	2646
Illinois River	10.00	275.00	300.00	165.00	0.00	110.00	110.00	132	90	6100	1912
Jacksonville
0.00	275.00	168.00	176.00	157.25	174.00	55.00	432	52	16686	1191
Pittsfield WC	0.00	0.00	91.75	9.00	163.50	23.00	0.00	34	0	4074	95
JTC	0.00	150.00	320.00	115.00	0.00	100.00	104.00	0	268	9273	1049
Elgin	0.00	0.00	75.00	20.00	0.00	0.00	54.00	12	20	2402	467
Kewanee	0.00	248.00	374.00	152.00	96.00	59.00	103.00	18	96	8640	953
Lawrence
3.75	138.00	301.00	110.00	0.00	398.00	104.00	215	283	9848	1833
Lincoln	4.25	275.00	204.00	177.00	15.00	175.00	58.00	36	162	14400	1480
Logan	1.00	0.00	468.00	4.00	0.00	4.00	220.00	0	0	12080	2933
Menard	0.00	275.00	493.00	143.50	0.00	92.00	108.00	183	113	7769	3403
Pinckneyville	51.00	214.00	792.00	220.00	0.00	320.00	220.00	0	51	11859	1783
Murphysboro
0.00	250.00	102.00	2.00	30.00	205.00	202.00	24	127	2200	266
Pontiac	0.00	275.00	438.00	126.00	57.00	83.00	116.00	96	174	8020	3356
Robinson	4.00	275.00	427.00	110.00	20.00	45.00	68.00	0	0	5680	1417
Shawnee	42.00	275.00	378.00	110.00	24.00	70.00	90.00	7	153	6636	1789
Sheridan	0.00	275.00	388.00	140.00	0.00	110.00	135.00	204	44	6876	2283
SWICC
0.00	233.00	238.00	159.00	24.00	40.00	55.00	0	0	7760	1155
Stateville	2.00	245.00	127.00	104.50	175.00	12.50	46.00	612	141	5561	40
Stateville NRC	0.00	220.00	519.00	140.00	60.00	5.00	880.00	35	78	24868	832
Taylorville	3.00	165.00	255.00	172.00	0.00	98.00	157.00	77	138	17232	1360
Vandalia	0.00	275.00	383.00	110.00	85.00	110.00	145.00	0	48	20320	1797
Vienna
8.25	248.00	273.00	98.00	10.00	16.00	84.00	0	166	8200	1498
Dixon Springs IIP	0.00	2.25	43.25	0.00	0.00	7.25	0.00	7	0	2366	141
Western Illinois	2.00	260.00	1427.00	120.00	275.00	425.00	114.00	186	158	1247	1536
Fox Valley ATC	0.00	0.00	369.00	0.00	0.00	0.00	0.00	7	3	388	209
Peoria ATC
0.00	0.00	266.00	0.00	0.00	4.00	4.00	8	0	1470	154
 

