CHEMICAL MASTER INVENTORY
DATE:	8/11/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	61.00	444.45	571.75	110.18	1.00	17.34	156.00	221	156	14340	1508
Centralia	2.00	270.00	610.00	55.00	20.00	213.00	160.00	83	159	7000	1471
Danville	151.50	275.00	170.25	43.50	150.00	111.00	59.00	376	353	11775	96
Decatur	23.00	204.00	129.00	126.00	52.00	15.00	55.00	98	36	9668	750
Dixon
116.00	0.00	199.00	110.00	0.00	55.00	130.00	168	206	3500	2378
East Moline	65.00	0.00	748.00	819.00	103.00	903.00	0.00	0	330	9780	1053
Graham	26.00	104.75	311.50	111.75	64.75	43.25	182.75	258	108	14948	1663
Hill	0.00	216.00	613.00	165.00	0.00	0.00	42.00	126	190	2600	544
Illinois River	85.68	275.00	72.00	165.00	0.00	110.00	110.00	132	84	7000	1849
Jacksonville
31.50	275.00	986.00	476.00	144.50	366.00	52.00	431	52	29886	1061
Pittsfield WC	4.00	0.00	32.00	8.00	163.25	16.00	0.00	34	0	2806	91
JTC	25.00	37.00	215.00	98.00	0.00	88.00	71.00	0	224	7600	704
Elgin	15.00	0.00	68.00	26.00	0.00	28.00	52.00	11	44	2413	444
Kewanee	28.00	214.00	335.00	143.00	84.00	54.00	85.00	18	62	8840	921
Lawrence
63.75	0.00	115.00	110.00	0.00	358.00	104.00	215	274	18506	1655
Lincoln	47.25	253.00	708.00	150.00	270.00	160.00	59.00	18	138	13600	1445
Logan	40.00	0.00	200.00	10.00	0.00	4.00	220.00	120	0	15200	2796
Menard	57.00	210.00	326.00	239.50	0.00	113.00	96.00	163	59	17180	3308
Pinckneyville	79.00	159.00	992.00	165.00	0.00	180.00	110.00	0	51	13679	1656
Murphysboro
12.00	200.00	97.00	10.00	25.00	185.00	189.00	18	131	5000	168
Pontiac	82.00	275.00	335.00	124.00	51.00	45.00	115.00	90	72	16900	3238
Robinson	48.00	273.00	372.00	110.00	11.00	40.00	32.00	0	30	8380	1413
Shawnee	36.00	275.00	762.00	110.00	24.00	144.00	65.00	204	126	7476	1703
Sheridan	52.00	275.00	244.00	55.00	0.00	55.00	110.00	153	0	12655	2065
SWICC
30.00	146.00	113.00	159.00	3.00	132.00	55.00	0	0	12560	1128
Stateville	7.00	165.00	1.00	22.50	78.00	0.00	43.00	458	108	725	5
Stateville NRC	50.00	165.00	2.00	110.00	110.00	2.00	880.00	20	45	24668	645
Taylorville	3.00	28.00	330.00	172.00	0.00	90.00	135.00	77	138	14712	1302
Vandalia	42.00	260.00	221.00	110.00	85.00	41.00	76.00	20	0	15020	1774
Vienna
62.00	215.00	846.00	90.00	5.00	208.00	58.00	3	252	8320	1510
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	20.00	220.00	1285.00	120.00	265.00	620.00	169.00	179	158	12954	1462
Fox Valley ATC	22.00	0.00	357.00	0.00	0.00	0.00	0.00	7	3	1528	202
Peoria ATC
15.00	2.00	258.00	0.00	0.00	2.00	2.00	3	0	1860	97
 

