CHEMICAL MASTER INVENTORY
DATE:	8/6/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	48.00	263.00	804.00	158.00	270.00	165.00	59.00	18	138	13600	1448
Centralia	40.00	0.00	256.00	27.00	0.00	4.00	220.00	120	0	12280	2796
Danville	57.00	215.00	398.50	251.50	0.00	136.00	96.00	166	65	12018	3318
Decatur	79.00	159.00	992.00	165.00	0.00	180.00	110.00	0	51	13679	1675
Dixon
12.00	215.00	115.00	10.00	30.00	185.00	189.00	18	132	5000	177
East Moline	82.00	275.00	345.00	124.00	51.00	45.00	115.00	90	78	18250	3239
Graham	48.00	273.00	375.00	110.00	11.00	40.00	35.00	0	66	9980	1413
Hill	39.00	275.00	174.00	110.00	24.00	70.00	84.00	210	149	6676	1720
Illinois River	47.00	275.00	244.00	55.00	0.00	110.00	110.00	163	0	12655	2065
Jacksonville
30.00	153.00	117.00	159.00	6.00	138.00	55.00	0	0	13560	1128
Pittsfield WC	7.00	171.00	11.00	22.50	81.00	0.00	43.00	458	108	725	5
JTC	57.00	174.00	9.00	26.00	35.00	5.00	880.00	18	45	24668	650
Elgin	3.00	28.00	330.00	172.00	0.00	90.00	135.00	77	138	14712	1302
Kewanee	42.00	260.00	237.00	110.00	85.00	63.00	76.00	28	0	15220	1774
Lawrence
67.00	224.00	864.00	90.00	5.00	208.00	58.00	3	331	8320	1541
Lincoln	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Logan	20.00	230.00	1304.00	120.00	265.00	275.00	59.00	179	158	15824	1462
Menard	22.00	0.00	357.00	0.00	0.00	0.00	0.00	7	3	1528	206
Pinckneyville	15.00	2.00	258.00	0.00	0.00	2.00	2.00	3	0	1400	97
Murphysboro
0.00	275.00	96.00	2.00	30.00	215.00	207.00	28	128	2600	309
Pontiac	1.00	275.00	468.00	132.00	61.00	55.00	117.00	96	232	14540	3332
Robinson	4.00	275.00	442.00	110.00	25.00	50.00	87.00	0	12	6160	1385
Shawnee	53.00	275.00	402.00	110.00	24.00	70.00	100.00	40	153	4496	1777
Sheridan	0.00	275.00	412.00	140.00	0.00	110.00	135.00	204	54	7776	2439
SWICC
0.00	259.00	297.00	159.00	36.00	44.00	55.00	0	0	7760	1149
Stateville	3.00	275.00	54.00	58.00	83.00	50.00	46.00	672	141	7916	168
Stateville NRC	0.00	275.00	932.00	116.00	125.00	45.00	880.00	97	16	31100	893
Taylorville	3.00	216.00	351.00	172.00	0.00	100.00	50.00	77	138	23632	1369
Vandalia	0.00	275.00	428.00	110.00	85.00	116.00	63.00	50	60	19720	1773
Vienna
2.00	264.00	407.00	106.00	16.00	20.00	98.00	42	214	10200	1577
Dixon Springs IIP	0.00	3.25	46.50	0.00	0.00	8.00	0.00	7	0	2407	73
Western Illinois	2.00	265.00	1542.00	132.00	290.00	585.00	149.00	186	164	20392	1651
Fox Valley ATC	0.00	0.00	375.00	0.00	0.00	0.00	0.00	7	3	500	92
Peoria ATC
0.00	0.00	268.00	0.00	0.00	5.00	5.00	8	0	1520	154
 

