CHEMICAL MASTER INVENTORY
DATE:	6/10/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	514.45	352.25	126.93	140.00	24.34	46.00	221	168	4040	1686
Centralia	0.00	270.00	260.00	122.00	20.00	130.00	50.00	84	159	9660	1814
Danville	122.50	275.00	359.25	30.00	150.00	109.00	59.00	176	82	20427	108
Decatur	0.00	256.00	275.00	138.00	74.00	50.00	55.00	117	36	10388	799
Dixon
1.00	155.00	249.00	110.00	0.00	110.00	130.00	168	206	20000	2502
East Moline	0.00	247.00	833.00	605.00	104.00	770.00	55.00	6	450	29850	1288
Graham	0.00	225.00	452.75	156.75	100.00	28.25	73.75	288	108	11448	1697
Hill	0.00	216.00	535.00	110.00	55.00	110.00	90.00	126	189	7200	2692
Illinois River	10.07	275.00	330.00	165.00	0.00	110.00	110.00	132	93	9100	1917
Jacksonville
0.00	275.00	254.00	324.00	158.00	174.00	55.00	432	52	14146	1183
Pittsfield WC	0.00	0.00	88.50	5.75	166.25	23.00	0.00	37	0	5080	138
JTC	0.00	170.00	323.00	117.00	0.00	100.00	106.00	0	272	9273	1088
Elgin	0.00	0.00	73.00	20.00	0.00	1.00	55.00	12	20	2471	469
Kewanee	0.00	252.00	376.00	153.00	99.00	59.00	105.00	24	102	8640	963
Lawrence
3.75	134.00	349.00	110.00	0.00	406.00	104.00	215	283	9528	1891
Lincoln	4.25	275.00	216.00	177.00	15.00	180.00	58.00	36	162	16500	1480
Logan	1.00	275.00	474.00	114.00	0.00	4.00	220.00	0	0	14680	2939
Menard	0.00	275.00	474.00	148.50	0.00	104.00	107.50	176	139	1827	3411
Pinckneyville	51.00	210.00	792.00	220.00	0.00	320.00	220.00	0	51	9760	1793
Murphysboro
0.00	260.00	108.00	2.00	30.00	210.00	207.00	24	127	1800	278
Pontiac	0.00	275.00	450.00	130.00	61.00	91.00	117.00	96	186	10420	3361
Robinson	4.00	275.00	418.00	110.00	20.00	45.00	71.00	0	0	3880	1419
Shawnee	46.00	275.00	390.00	110.00	24.00	70.00	90.00	25	153	6436	1789
Sheridan	0.00	275.00	388.00	140.00	0.00	110.00	135.00	204	44	8376	2300
SWICC
0.00	239.00	210.00	159.00	28.00	41.00	55.00	0	0	7760	1155
Stateville	2.00	245.00	11.00	116.00	180.00	23.00	46.00	620	141	8561	100
Stateville NRC	0.00	222.00	681.00	148.00	66.00	5.00	880.00	40	78	26833	845
Taylorville	3.00	179.00	297.00	172.00	0.00	98.00	157.00	77	138	20672	1385
Vandalia	0.00	275.00	389.00	110.00	85.00	132.00	35.00	6	60	19520	1801
Vienna
8.25	252.00	243.00	102.00	10.00	16.00	92.00	0	178	8000	1536
Dixon Springs IIP	0.00	2.25	44.25	0.00	0.00	7.25	0.00	7	0	2388	145
Western Illinois	2.00	260.00	1439.00	120.00	275.00	450.00	129.00	186	158	11047	1570
Fox Valley ATC	0.00	0.00	371.00	0.00	0.00	0.00	0.00	7	3	424	209
Peoria ATC
0.00	0.00	272.00	0.00	0.00	4.00	5.00	8	0	1505	155
 

