CHEMICAL MASTER INVENTORY
DATE:	7/15/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	15.00	480.20	614.25	121.93	59.00	19.34	156.00	221	156	9640	1591
Centralia	2.00	270.00	144.00	110.00	20.00	91.00	160.00	84	159	8000	1594
Danville	132.50	275.00	252.25	15.50	150.00	111.00	59.00	176	82	16192	96
Decatur	5.00	225.00	202.00	126.00	52.00	30.00	55.00	113	36	9328	762
Dixon
15.00	0.00	69.00	110.00	0.00	55.00	130.00	168	206	10020	2397
East Moline	62.00	95.00	410.00	407.00	104.00	463.00	42.00	6	414	19300	1116
Graham	25.00	155.75	393.25	136.25	85.00	6.25	182.75	258	108	7548	1697
Hill	8.00	216.00	384.00	110.00	0.00	110.00	85.00	126	189	8400	2642
Illinois River	85.68	275.00	180.00	165.00	0.00	110.00	110.00	132	87	3300	1872
Jacksonville
10.00	275.00	1007.50	366.00	151.75	174.00	55.00	431	52	13286	1100
Pittsfield WC	0.00	0.00	54.25	13.25	166.75	20.00	0.00	34	0	2414	93
JTC	19.00	90.00	269.00	107.00	0.00	100.00	88.00	0	245	8100	871
Elgin	5.00	0.00	64.00	15.00	0.00	0.00	52.00	11	20	2343	450
Kewanee	18.50	226.00	354.00	146.00	87.00	55.00	94.00	18	72	7540	935
Lawrence
18.75	0.00	259.00	110.00	0.00	358.00	104.00	215	274	11360	1743
Lincoln	13.00	271.00	24.00	173.00	0.00	170.00	59.00	24	150	13600	1470
Logan	21.00	0.00	448.00	0.00	0.00	4.00	220.00	0	0	6080	2826
Menard	25.00	252.00	306.00	146.50	0.00	147.00	103.00	180	83	10931	3361
Pinckneyville	64.00	214.00	672.00	220.00	0.00	285.00	110.00	0	51	13486	1736
Murphysboro
5.00	235.00	80.00	2.00	30.00	195.00	189.00	20	132	2600	214
Pontiac	50.00	275.00	387.00	124.00	57.00	67.00	115.00	90	114	6500	3308
Robinson	14.00	275.00	398.00	110.00	15.00	40.00	48.00	0	0	9280	1417
Shawnee	46.00	275.00	300.00	110.00	24.00	70.00	84.00	0	151	5876	1714
Sheridan	20.00	275.00	311.00	140.00	0.00	110.00	135.00	197	44	15326	2244
SWICC
33.00	190.00	210.00	159.00	13.00	33.00	55.00	0	0	10560	1130
Stateville	18.00	214.00	21.00	31.50	133.00	0.00	46.00	495	130	0	5
Stateville NRC	60.00	190.00	0.00	73.00	41.00	5.00	880.00	25	64	26368	699
Taylorville	3.00	86.00	419.00	172.00	0.00	98.00	147.00	77	138	14616	1335
Vandalia	25.00	275.00	292.00	110.00	85.00	34.00	113.00	0	0	16520	1791
Vienna
20.50	235.00	72.00	98.00	2.00	60.00	58.00	0	153	6800	1445
Dixon Springs IIP	0.00	1.50	40.00	0.00	0.00	7.00	0.00	7	0	2344	137
Western Illinois	2.00	260.00	1370.00	120.00	270.00	340.00	64.00	185	158	2713	1517
Fox Valley ATC	0.00	0.00	361.00	0.00	0.00	0.00	0.00	7	3	1022	209
Peoria ATC
10.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1237	135
 

