CHEMICAL MASTER INVENTORY
DATE:	6/30/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	494.45	634.75	123.68	95.00	24.34	156.00	221	168	11840	1601
Centralia	2.00	270.00	212.00	110.00	20.00	113.00	160.00	84	159	9000	1648
Danville	132.50	275.00	309.25	43.00	150.00	111.00	59.00	176	82	19077	96
Decatur	5.00	242.00	241.00	126.00	68.00	35.00	55.00	114	36	9388	762
Dixon
15.00	60.00	113.00	110.00	0.00	55.00	130.00	168	206	6020	2474
East Moline	40.00	255.00	638.00	439.00	104.00	605.00	42.00	6	414	23300	1150
Graham	10.00	182.00	431.25	144.50	91.00	14.50	182.75	288	108	7148	1697
Hill	0.00	216.00	613.00	165.00	0.00	0.00	42.00	126	190	2600	544
Illinois River	85.68	275.00	255.00	165.00	0.00	110.00	110.00	132	87	6500	1894
Jacksonville
10.00	275.00	62.00	76.00	154.25	174.00	55.00	432	52	14786	1170
Pittsfield WC	0.00	0.00	67.50	15.00	168.75	16.00	0.00	34	0	2840	95
JTC	10.00	119.00	298.00	111.00	0.00	100.00	95.00	0	258	8470	992
Elgin	5.00	0.00	68.00	18.00	0.00	0.00	52.00	12	20	2400	464
Kewanee	4.00	237.00	366.00	148.00	92.00	57.00	100.00	18	90	8240	948
Lawrence
18.75	107.00	301.00	110.00	0.00	398.00	104.00	215	283	10962	1769
Lincoln	14.25	275.00	198.00	173.00	0.00	170.00	58.00	36	150	11600	1480
Logan	21.00	0.00	301.00	0.00	0.00	4.00	220.00	0	0	9600	2826
Menard	25.00	262.00	343.00	142.50	0.00	147.00	104.00	182	102	14545	3379
Pinckneyville	64.00	214.00	750.00	220.00	0.00	305.00	220.00	0	51	16059	1774
Murphysboro
5.00	245.00	96.00	2.00	30.00	200.00	198.00	22	132	2600	241
Pontiac	20.00	275.00	414.00	124.00	57.00	78.00	115.00	95	150	5300	3334
Robinson	14.00	275.00	412.00	110.00	20.00	40.00	59.00	0	0	10280	1417
Shawnee	51.00	275.00	318.00	110.00	24.00	70.00	90.00	0	153	11136	1756
Sheridan	15.00	275.00	339.00	110.00	0.00	110.00	135.00	204	44	12476	2274
SWICC
10.00	213.00	235.00	159.00	18.00	37.00	55.00	0	0	10160	1134
Stateville	6.00	225.00	37.00	55.50	158.00	0.00	46.00	575	130	1261	7
Stateville NRC	0.00	196.00	186.00	110.00	48.00	5.00	880.00	27	78	20968	795
Taylorville	3.00	118.00	234.00	172.00	0.00	98.00	150.00	77	138	16512	1335
Vandalia	10.00	275.00	343.00	110.00	85.00	74.00	145.00	0	12	19320	1795
Vienna
22.25	235.00	193.00	98.00	2.00	72.00	62.00	0	154	8400	1452
Dixon Springs IIP	0.00	1.50	41.00	0.00	0.00	7.00	0.00	7	0	2334	141
Western Illinois	2.00	260.00	1388.00	120.00	275.00	365.00	84.00	185	158	5547	1517
Fox Valley ATC	0.00	0.00	365.00	0.00	0.00	0.00	0.00	7	3	1146	209
Peoria ATC
5.00	2.00	262.00	0.00	0.00	3.00	4.00	7	0	1390	149
 

