CHEMICAL MASTER INVENTORY
DATE:	7/5/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	15.00	489.95	628.25	123.68	83.00	24.34	156.00	221	168	9640	1601
Centralia	2.00	270.00	204.00	110.00	20.00	109.00	160.00	84	159	6400	1648
Danville	132.50	275.00	302.25	37.00	150.00	111.00	59.00	176	82	17627	96
Decatur	5.00	235.00	223.00	126.00	63.00	35.00	55.00	114	36	9328	756
Dixon
15.00	60.00	99.00	110.00	0.00	55.00	130.00	168	206	6020	2472
East Moline	40.00	192.50	601.00	439.00	104.00	587.00	42.00	6	414	23300	1134
Graham	10.00	175.50	421.75	142.50	89.50	12.25	182.75	288	108	3548	1697
Hill	8.00	216.00	444.00	110.00	55.00	110.00	90.00	126	189	8600	2643
Illinois River	85.68	275.00	240.00	165.00	0.00	110.00	110.00	132	87	3300	1883
Jacksonville
10.00	275.00	30.50	46.00	153.75	174.00	55.00	431	52	14786	1156
Pittsfield WC	0.00	0.00	65.25	14.50	167.00	24.00	0.00	34	0	2726	95
JTC	10.00	110.00	295.00	110.00	0.00	100.00	95.00	0	255	8470	957
Elgin	5.00	0.00	67.00	17.00	0.00	0.00	52.00	12	20	2400	454
Kewanee	4.00	234.00	361.00	148.00	88.00	57.00	99.00	18	90	8240	937
Lawrence
18.75	15.00	301.00	110.00	0.00	398.00	104.00	215	283	10962	1768
Lincoln	14.25	275.00	108.00	173.00	0.00	170.00	58.00	36	150	11600	1480
Logan	21.00	0.00	299.00	0.00	0.00	4.00	220.00	0	0	6520	2826
Menard	25.00	255.00	279.00	137.00	0.00	142.00	104.00	182	99	11428	3377
Pinckneyville	64.00	214.00	714.00	220.00	0.00	295.00	165.00	0	51	13014	1769
Murphysboro
5.00	245.00	86.00	2.00	30.00	195.00	198.00	20	132	2334	232
Pontiac	20.00	275.00	407.00	124.00	57.00	78.00	115.00	90	150	4700	3329
Robinson	14.00	275.00	412.00	110.00	15.00	40.00	59.00	0	0	10280	1417
Shawnee	51.00	275.00	318.00	110.00	24.00	70.00	90.00	0	153	8336	1744
Sheridan	15.00	275.00	352.00	140.00	0.00	110.00	135.00	204	44	9476	2253
SWICC
9.00	207.00	229.00	159.00	16.00	35.00	55.00	0	0	10160	1130
Stateville	24.00	220.00	60.00	52.50	153.00	0.00	46.00	553	130	1261	5
Stateville NRC	0.00	190.00	64.00	98.00	42.00	5.00	880.00	25	78	20968	770
Taylorville	3.00	110.00	234.00	172.00	0.00	98.00	147.00	77	138	16521	1335
Vandalia	10.00	275.00	337.00	110.00	85.00	66.00	129.00	0	12	19320	1795
Vienna
22.25	235.00	121.00	98.00	2.00	60.00	58.00	0	153	8400	1450
Dixon Springs IIP	0.00	1.50	40.25	0.00	0.00	7.00	0.00	7	0	2334	137
Western Illinois	2.00	260.00	1376.00	120.00	275.00	360.00	69.00	185	158	2697	1512
Fox Valley ATC	0.00	0.00	365.00	0.00	0.00	0.00	0.00	7	3	1104	209
Peoria ATC
5.00	2.00	262.00	0.00	0.00	3.00	4.00	3	0	1300	149
 

