CHEMICAL MASTER INVENTORY
DATE:	7/16/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	30.00	479.45	613.00	121.93	56.00	19.34	156.00	221	156	12040	1585
Centralia	2.00	270.00	144.00	110.00	20.00	91.00	160.00	84	159	10800	1609
Danville	132.50	275.00	248.75	15.00	150.00	111.00	59.00	176	82	14765	96
Decatur	14.00	225.00	198.00	126.00	52.00	30.00	55.00	113	36	10328	762
Dixon
45.00	0.00	69.00	110.00	0.00	55.00	130.00	168	206	15020	2397
East Moline	62.00	95.00	406.00	407.00	104.00	463.00	42.00	6	414	19300	1116
Graham	25.00	153.75	390.25	135.25	84.50	60.50	182.75	258	108	3948	1697
Hill	23.00	216.00	384.00	110.00	0.00	55.00	85.00	126	189	8700	2642
Illinois River	85.68	275.00	180.00	165.00	0.00	110.00	110.00	132	87	6800	1872
Jacksonville
10.00	275.00	1009.50	362.00	151.75	174.00	55.00	431	52	13286	1098
Pittsfield WC	0.00	0.00	51.25	13.00	166.75	20.00	0.00	34	0	2414	93
JTC	19.00	90.00	268.00	107.00	0.00	100.00	88.00	0	245	8100	871
Elgin	5.00	0.00	82.00	15.00	0.00	0.00	52.00	11	20	2543	450
Kewanee	18.50	226.00	354.00	146.00	87.00	55.00	94.00	18	72	7540	932
Lawrence
33.75	0.00	259.00	110.00	0.00	358.00	104.00	215	274	7360	1741
Lincoln	28.00	265.00	54.00	173.00	0.00	170.00	59.00	24	150	13600	1470
Logan	36.00	0.00	447.00	0.00	0.00	4.00	220.00	0	0	6280	2818
Menard	25.00	252.00	289.00	146.00	0.00	146.00	103.00	180	75	17589	3361
Pinckneyville	79.00	214.00	672.00	220.00	0.00	285.00	110.00	0	51	14179	1736
Murphysboro
11.00	235.00	133.00	2.00	30.00	195.00	189.00	20	132	3200	212
Pontiac	50.00	275.00	387.00	124.00	57.00	67.00	115.00	90	114	6500	3308
Robinson	23.00	275.00	394.00	110.00	15.00	40.00	48.00	0	0	11480	1417
Shawnee	46.00	275.00	300.00	110.00	24.00	70.00	84.00	0	151	9876	1729
Sheridan	20.00	275.00	311.00	140.00	0.00	110.00	135.00	197	44	13750	2212
SWICC
33.00	185.00	210.00	159.00	13.00	32.00	55.00	0	0	10560	1130
Stateville	17.00	214.00	7.00	31.50	130.00	0.00	46.00	491	130	0	5
Stateville NRC	60.00	190.00	44.00	70.00	41.00	5.00	880.00	24	63	25068	695
Taylorville	3.00	86.00	410.00	172.00	0.00	98.00	147.00	77	138	15016	1335
Vandalia	25.00	275.00	292.00	110.00	85.00	31.00	113.00	0	0	16520	1791
Vienna
35.50	227.00	72.00	98.00	2.00	60.00	58.00	0	153	9600	1445
Dixon Springs IIP	0.00	1.50	40.00	0.00	0.00	7.00	0.00	7	0	2344	137
Western Illinois	2.00	260.00	1370.00	120.00	270.00	340.00	64.00	185	158	2713	1511
Fox Valley ATC	0.00	0.00	361.00	0.00	0.00	0.00	0.00	7	3	1022	209
Peoria ATC
10.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1637	135
 

