CHEMICAL MASTER INVENTORY
DATE:	6/11/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	0.00	77.00	20.00	0.00	1.00	55.00	12	20	2460	469
Centralia	0.00	252.00	376.00	153.00	99.00	59.00	104.00	18	102	8640	954
Danville	3.75	138.00	301.00	110.00	0.00	398.00	104.00	215	283	13528	1891
Decatur	4.25	275.00	216.00	177.00	15.00	180.00	58.00	36	162	15300	1480
Dixon
1.00	275.00	474.00	114.00	0.00	4.00	220.00	0	0	12880	2937
East Moline	0.00	275.00	504.00	153.00	0.00	109.00	107.50	180	136	2387	3411
Graham	51.00	214.00	792.00	220.00	0.00	320.00	220.00	0	51	11859	1793
Hill	0.00	250.00	108.00	2.00	30.00	205.00	202.00	24	127	2200	276
Illinois River	0.00	275.00	450.00	130.00	61.00	91.00	117.00	96	186	9820	3361
Jacksonville
4.00	275.00	430.00	110.00	20.00	45.00	71.00	0	0	6080	1419
Pittsfield WC	42.00	275.00	378.00	110.00	24.00	70.00	90.00	7	153	3436	1789
JTC	0.00	275.00	388.00	140.00	0.00	110.00	135.00	204	44	8376	2283
Elgin	0.00	239.00	240.00	159.00	28.00	41.00	55.00	0	0	7760	1155
Kewanee	2.00	245.00	97.00	116.00	177.00	23.00	46.00	620	141	8561	64
Lawrence
0.00	220.00	569.00	145.00	66.00	5.00	880.00	40	78	24868	845
Lincoln	3.00	179.00	309.00	172.00	0.00	98.00	157.00	77	138	20672	1385
Logan	0.00	275.00	398.00	110.00	85.00	128.00	145.00	0	56	21520	1801
Menard	8.25	252.00	273.00	102.00	10.00	16.00	92.00	0	178	9800	1500
Pinckneyville	0.00	2.25	44.00	0.00	0.00	7.25	0.00	7	0	2388	145
Murphysboro
2.00	260.00	1439.00	120.00	275.00	450.00	129.00	186	158	11047	1565
Pontiac	0.00	0.00	371.00	0.00	0.00	0.00	0.00	7	3	424	209
Robinson	0.00	0.00	272.00	0.00	0.00	4.00	5.00	8	0	1505	155
Shawnee	53.00	275.00	402.00	110.00	24.00	70.00	100.00	40	153	4496	1777
Sheridan	0.00	275.00	412.00	140.00	0.00	110.00	135.00	204	54	7776	2439
SWICC
0.00	259.00	297.00	159.00	36.00	44.00	55.00	0	0	7760	1149
Stateville	3.00	275.00	54.00	58.00	83.00	50.00	46.00	672	141	7916	168
Stateville NRC	0.00	275.00	932.00	116.00	125.00	45.00	880.00	97	16	31100	893
Taylorville	3.00	216.00	351.00	172.00	0.00	100.00	50.00	77	138	23632	1369
Vandalia	0.00	275.00	428.00	110.00	85.00	116.00	63.00	50	60	19720	1773
Vienna
2.00	264.00	407.00	106.00	16.00	20.00	98.00	42	214	10200	1577
Dixon Springs IIP	0.00	3.25	46.50	0.00	0.00	8.00	0.00	7	0	2407	73
Western Illinois	2.00	265.00	1542.00	132.00	290.00	585.00	149.00	186	164	20392	1651
Fox Valley ATC	0.00	0.00	375.00	0.00	0.00	0.00	0.00	7	3	500	92
Peoria ATC
0.00	0.00	268.00	0.00	0.00	5.00	5.00	8	0	1520	154
 

