CHEMICAL MASTER INVENTORY
DATE:	7/14/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	15.00	480.95	615.50	121.93	62.00	19.34	156.00	221	156	9640	1591
Centralia	2.00	270.00	144.00	110.00	20.00	91.00	160.00	84	159	8000	1594
Danville	132.50	275.00	266.75	16.00	150.00	111.00	59.00	176	82	16192	96
Decatur	5.00	225.00	202.00	126.00	52.00	30.00	55.00	113	36	9328	762
Dixon
15.00	0.00	83.00	110.00	0.00	55.00	130.00	168	206	10020	2431
East Moline	35.00	95.00	475.00	407.00	104.00	518.00	42.00	6	414	21300	1120
Graham	10.00	157.25	396.25	137.00	85.50	6.75	182.75	276	108	3548	1697
Hill	8.00	216.00	384.00	110.00	0.00	55.00	85.00	126	189	8400	2642
Illinois River	85.68	275.00	180.00	165.00	0.00	110.00	110.00	132	87	3300	1872
Jacksonville
10.00	275.00	1005.50	369.00	152.75	174.00	55.00	431	52	14086	1111
Pittsfield WC	0.00	0.00	66.25	13.50	167.00	24.00	0.00	34	0	2614	93
JTC	10.00	90.00	270.00	107.00	0.00	100.00	88.00	0	245	7700	871
Elgin	5.00	0.00	67.00	17.00	0.00	0.00	52.00	12	20	2343	450
Kewanee	4.00	227.00	355.00	146.00	88.00	55.00	95.00	18	78	7040	935
Lawrence
18.75	0.00	259.00	110.00	0.00	358.00	104.00	215	274	11360	1743
Lincoln	13.00	271.00	24.00	173.00	0.00	170.00	59.00	24	150	13600	1470
Logan	21.00	0.00	450.00	0.00	0.00	4.00	220.00	0	0	6080	2826
Menard	25.00	252.00	323.00	142.50	0.00	147.00	103.00	180	83	12531	3361
Pinckneyville	64.00	214.00	714.00	220.00	0.00	295.00	165.00	0	51	13486	1736
Murphysboro
5.00	235.00	80.00	2.00	30.00	195.00	189.00	20	132	2600	216
Pontiac	20.00	275.00	393.00	124.00	57.00	67.00	115.00	90	126	4500	3315
Robinson	14.00	275.00	399.00	110.00	15.00	40.00	50.00	0	0	9280	1417
Shawnee	46.00	275.00	300.00	110.00	24.00	70.00	84.00	0	151	8676	1730
Sheridan	5.00	275.00	311.00	140.00	0.00	110.00	135.00	197	44	13226	2244
SWICC
6.00	190.00	210.00	159.00	13.00	34.00	55.00	0	0	9360	1130
Stateville	18.00	214.00	33.00	34.50	136.00	0.00	46.00	495	130	0	5
Stateville NRC	0.00	190.00	9.00	76.00	41.00	5.00	880.00	25	67	23968	702
Taylorville	3.00	86.00	428.00	172.00	0.00	98.00	147.00	77	138	15801	1335
Vandalia	10.00	275.00	292.00	110.00	85.00	36.00	113.00	0	0	16520	1791
Vienna
21.25	235.00	96.00	98.00	2.00	60.00	58.00	0	153	6800	1445
Dixon Springs IIP	0.00	1.50	40.00	0.00	0.00	7.00	0.00	7	0	2344	137
Western Illinois	2.00	260.00	1376.00	120.00	275.00	345.00	74.00	185	158	2713	1517
Fox Valley ATC	0.00	0.00	361.00	0.00	0.00	0.00	0.00	7	3	1062	209
Peoria ATC
10.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1237	135
 

