CHEMICAL MASTER INVENTORY
DATE:	6/24/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	499.95	643.00	124.68	107.00	24.34	156.00	221	168	6840	1601
Centralia	0.00	270.00	212.00	110.00	20.00	113.00	160.00	84	159	9143	1714
Danville	122.50	275.00	336.25	55.00	150.00	111.00	59.00	176	82	19077	96
Decatur	0.00	245.00	247.00	126.00	70.00	40.00	55.00	117	36	10388	762
Dixon
0.00	60.00	141.00	110.00	0.00	55.00	130.00	168	206	10064	2478
East Moline	51.00	0.00	725.00	495.00	104.00	605.00	42.00	6	426	25580	1183
Graham	0.00	198.50	447.75	148.00	93.75	18.75	182.75	288	108	3548	1697
Hill	10.00	216.00	511.00	110.00	55.00	110.00	90.00	126	189	15000	2643
Illinois River	47.84	275.00	270.00	165.00	0.00	110.00	110.00	132	90	9500	1898
Jacksonville
0.00	275.00	106.50	118.50	155.75	174.00	55.00	432	52	15586	1144
Pittsfield WC	0.00	0.00	73.00	6.00	161.50	20.00	0.00	34	0	2949	95
JTC	10.00	134.00	302.00	113.00	0.00	100.00	97.00	0	263	8726	1015
Elgin	0.00	0.00	73.00	20.00	0.00	0.00	54.00	12	20	2390	464
Kewanee	5.00	241.00	368.00	150.00	94.00	57.00	101.00	18	96	8640	952
Lawrence
3.75	114.00	301.00	110.00	0.00	398.00	104.00	215	283	10204	1809
Lincoln	14.25	275.00	198.00	173.00	15.00	170.00	58.00	36	162	14400	1480
Logan	21.00	0.00	348.00	4.00	0.00	4.00	220.00	0	0	9880	2826
Menard	0.00	266.00	429.00	141.00	0.00	148.50	104.00	185	108	13808	3392
Pinckneyville	49.00	214.00	750.00	220.00	0.00	305.00	220.00	0	51	13959	1775
Murphysboro
0.00	245.00	102.00	2.00	30.00	200.00	202.00	23	138	2400	251
Pontiac	20.00	275.00	430.00	126.00	57.00	78.00	115.00	95	162	7620	3347
Robinson	4.00	275.00	422.00	110.00	20.00	40.00	62.00	0	0	9080	1417
Shawnee	40.00	275.00	318.00	110.00	24.00	70.00	90.00	0	153	4736	1760
Sheridan	15.00	275.00	339.00	110.00	0.00	110.00	135.00	204	44	12376	2274
SWICC
0.00	225.00	237.00	159.00	20.00	38.00	55.00	0	0	8960	1137
Stateville	6.00	240.00	47.00	73.50	161.00	0.00	46.00	594	134	2961	20
Stateville NRC	4.00	215.00	394.00	128.00	57.00	5.00	880.00	34	78	23568	820
Taylorville	3.00	131.00	255.00	172.00	0.00	98.00	150.00	77	138	17232	1360
Vandalia	0.00	275.00	359.00	110.00	85.00	89.00	145.00	0	28	20720	1795
Vienna
7.25	243.00	199.00	98.00	6.00	72.00	74.00	0	166	8400	1461
Dixon Springs IIP	0.00	1.50	42.50	0.00	0.00	7.00	0.00	7	0	2344	141
Western Illinois	2.00	260.00	1388.00	120.00	275.00	365.00	84.00	185	158	10000	1527
Fox Valley ATC	0.00	0.00	366.00	0.00	0.00	0.00	0.00	7	3	1146	209
Peoria ATC
5.00	2.00	270.00	0.00	0.00	4.00	4.00	7	0	1394	152
 

