CHEMICAL MASTER INVENTORY
DATE:	8/4/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	62.00	453.95	585.25	115.43	2.00	18.34	156.00	221	156	11840	1554
Centralia	2.00	270.00	618.00	55.00	20.00	61.00	160.00	83	159	6200	1472
Danville	152.00	275.00	201.25	58.50	150.00	111.00	59.00	376	353	12435	96
Decatur	26.00	211.00	147.00	126.00	52.00	20.00	55.00	98	36	9068	752
Dixon
116.00	0.00	278.00	110.00	0.00	55.00	130.00	168	206	0	2417
East Moline	70.00	95.00	224.00	283.00	104.00	353.00	42.00	3	342	13580	1070
Graham	35.00	119.50	334.00	122.75	71.50	48.50	182.75	258	108	9948	1674
Hill	38.00	216.00	302.00	110.00	0.00	55.00	85.00	126	187	15400	2590
Illinois River	85.68	275.00	114.00	165.00	0.00	110.00	110.00	132	87	3800	1853
Jacksonville
10.00	275.00	1006.00	308.00	149.00	174.00	55.00	431	52	12486	1084
Pittsfield WC	4.00	0.00	37.00	924.50	164.50	20.00	0.00	34	0	2806	93
JTC	26.00	47.00	233.00	93.00	0.00	100.00	70.00	0	236	7600	770
Elgin	11.00	0.00	73.00	26.00	0.00	28.00	52.00	11	44	2434	446
Kewanee	28.50	216.00	339.00	144.00	85.00	55.00	86.00	18	65	7140	926
Lawrence
65.75	0.00	115.00	110.00	0.00	358.00	104.00	215	274	17692	1677
Lincoln	48.00	263.00	804.00	158.00	270.00	165.00	58.00	18	138	13600	1448
Logan	40.00	0.00	259.00	52.00	0.00	4.00	220.00	120	0	10380	2797
Menard	57.00	220.00	188.50	248.50	0.00	133.00	101.00	166	78	13251	3332
Pinckneyville	79.00	159.00	1034.00	165.00	0.00	210.00	110.00	0	51	10913	1678
Murphysboro
12.00	215.00	115.00	10.00	30.00	185.00	189.00	18	132	4000	180
Pontiac	82.00	275.00	351.00	124.00	51.00	50.00	115.00	90	78	10950	3242
Robinson	48.00	273.00	377.00	110.00	11.00	40.00	35.00	0	72	7780	1413
Shawnee	39.00	275.00	174.00	110.00	24.00	70.00	84.00	210	149	6676	1720
Sheridan	47.00	275.00	244.00	55.00	0.00	110.00	110.00	163	0	11030	2065
SWICC
30.00	157.00	124.00	159.00	7.00	140.00	55.00	0	0	11560	1128
Stateville	7.00	193.00	17.00	28.50	93.00	0.00	44.00	460	110	725	5
Stateville NRC	57.00	180.00	15.00	30.00	27.00	5.00	880.00	20	47	24668	650
Taylorville	3.00	28.00	334.00	172.00	0.00	90.00	135.00	77	138	13212	1302
Vandalia	42.00	275.00	242.00	110.00	85.00	67.00	86.00	28	0	13720	1785
Vienna
67.00	224.00	864.00	90.00	5.00	208.00	58.00	3	331	3320	1541
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	21.00	240.00	1310.00	120.00	265.00	280.00	59.00	179	158	9024	1465
Fox Valley ATC	22.00	0.00	357.00	0.00	0.00	0.00	0.00	7	3	1556	206
Peoria ATC
15.00	2.00	258.00	0.00	0.00	2.00	2.00	3	0	1400	97
 

