CHEMICAL MASTER INVENTORY
DATE:	6/17/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	507.95	352.25	125.93	119.00	24.34	156.00	221	168	4240	1651
Centralia	0.00	270.00	272.00	122.00	20.00	129.00	160.00	84	159	10460	1814
Danville	122.50	275.00	353.75	70.00	150.00	111.00	59.00	176	82	20527	100
Decatur	0.00	251.00	262.00	126.00	72.00	42.00	55.00	117	36	10388	798
Dixon
0.00	100.00	240.00	110.00	0.00	110.00	130.00	168	206	20000	2486
East Moline	0.00	83.00	770.00	605.00	104.00	715.00	55.00	6	438	27580	1235
Graham	0.00	211.50	463.75	152.50	96.00	22.50	182.75	288	108	8048	1697
Hill	0.00	216.00	535.00	110.00	55.00	110.00	90.00	126	189	15000	2646
Illinois River	10.00	275.00	300.00	165.00	0.00	110.00	110.00	132	90	9300	1908
Jacksonville
0.00	275.00	161.00	172.00	156.75	174.00	55.00	432	52	16386	1191
Pittsfield WC	0.00	0.00	83.25	6.00	163.50	20.00	0.00	34	0	3949	95
JTC	0.00	148.00	319.00	114.00	0.00	100.00	103.00	0	265	9057	1049
Elgin	0.00	0.00	75.00	20.00	0.00	0.00	55.00	12	20	2400	469
Kewanee	0.00	248.00	374.00	152.00	96.00	59.00	103.00	18	96	8640	952
Lawrence
3.75	138.00	301.00	110.00	0.00	398.00	104.00	215	283	9848	1832
Lincoln	4.25	275.00	210.00	177.00	15.00	175.00	58.00	36	162	14400	1480
Logan	1.00	0.00	402.00	4.00	0.00	4.00	220.00	0	0	12080	2933
Menard	0.00	275.00	480.00	148.00	0.00	85.50	108.00	181	113	5535	3402
Pinckneyville	51.00	214.00	792.00	220.00	0.00	320.00	220.00	0	51	11859	1781
Murphysboro
0.00	250.00	102.00	2.00	30.00	205.00	202.00	24	127	2200	263
Pontiac	0.00	275.00	438.00	126.00	57.00	83.00	116.00	96	168	8020	3356
Robinson	4.00	275.00	429.00	110.00	20.00	45.00	70.00	0	0	5680	1417
Shawnee	42.00	275.00	354.00	110.00	24.00	70.00	90.00	0	153	4136	1771
Sheridan	0.00	275.00	388.00	140.00	0.00	110.00	135.00	204	44	10276	2283
SWICC
0.00	233.00	237.00	159.00	24.00	40.00	55.00	0	0	7760	1155
Stateville	2.00	245.00	114.00	104.50	172.00	11.50	46.00	607	141	5561	35
Stateville NRC	0.00	220.00	499.00	137.00	60.00	5.00	880.00	35	78	24868	825
Taylorville	3.00	150.00	255.00	172.00	0.00	98.00	157.00	77	138	17232	1360
Vandalia	0.00	275.00	382.00	110.00	85.00	107.00	145.00	0	44	20320	1797
Vienna
8.25	248.00	236.00	98.00	10.00	84.00	84.00	0	166	8200	1498
Dixon Springs IIP	0.00	2.00	43.00	0.00	0.00	7.25	0.00	7	0	2366	141
Western Illinois	2.00	260.00	1427.00	120.00	275.00	425.00	114.00	186	158	4447	1536
Fox Valley ATC	0.00	0.00	369.00	0.00	0.00	0.00	0.00	7	3	1188	209
Peoria ATC
0.00	0.00	270.00	0.00	0.00	4.00	4.00	8	0	1470	154
 

