CHEMICAL MASTER INVENTORY
DATE:	8/5/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	61.00	452.45	583.75	115.43	2.00	17.34	156.00	221	156	11840	1544
Centralia	2.00	270.00	618.00	55.00	20.00	61.00	160.00	83	159	6200	1472
Danville	151.50	275.00	197.75	55.50	150.00	111.00	59.00	376	353	12435	96
Decatur	26.00	209.00	144.00	126.00	52.00	20.00	55.00	98	36	10068	752
Dixon
116.00	0.00	278.00	110.00	0.00	55.00	130.00	168	206	0	2417
East Moline	70.00	95.00	224.00	283.00	104.00	353.00	42.00	3	342	13580	1070
Graham	35.00	117.25	331.50	122.25	71.25	48.25	182.75	258	108	14948	1674
Hill	38.00	216.00	284.00	110.00	0.00	0.00	85.00	126	187	18400	2590
Illinois River	85.68	275.00	114.00	165.00	0.00	110.00	110.00	132	87	9800	1853
Jacksonville
10.00	275.00	1000.00	303.00	146.50	174.00	52.00	431	52	15486	1080
Pittsfield WC	4.00	0.00	34.00	8.75	164.50	16.00	0.00	34	0	2806	91
JTC	26.00	47.00	232.00	100.00	0.00	100.00	77.00	0	233	7600	733
Elgin	15.00	0.00	73.00	26.00	0.00	32.00	52.00	11	44	2434	446
Kewanee	28.50	215.00	338.00	144.00	85.00	55.00	86.00	18	65	9140	926
Lawrence
65.75	0.00	115.00	110.00	0.00	358.00	104.00	215	274	17692	1677
Lincoln	48.00	263.00	804.00	158.00	270.00	165.00	59.00	18	138	13600	1448
Logan	40.00	0.00	259.00	28.00	0.00	4.00	220.00	120	0	15380	2796
Menard	57.00	215.00	393.50	240.50	0.00	123.00	96.00	148	73	10918	3329
Pinckneyville	79.00	159.00	1034.00	165.00	0.00	210.00	110.00	0	51	10913	1675
Murphysboro
12.00	215.00	115.00	10.00	30.00	185.00	189.00	18	132	4000	178
Pontiac	82.00	275.00	347.00	124.00	51.00	50.00	115.00	90	78	10950	3239
Robinson	48.00	273.00	375.00	110.00	11.00	40.00	35.00	0	66	7780	1413
Shawnee	39.00	275.00	174.00	110.00	24.00	70.00	84.00	210	149	6676	1720
Sheridan	47.00	275.00	244.00	55.00	0.00	110.00	110.00	163	0	12655	2065
SWICC
30.00	153.00	121.00	159.00	6.00	138.00	55.00	0	0	13560	1128
Stateville	7.00	183.00	11.00	24.50	87.00	0.00	44.00	458	108	725	5
Stateville NRC	57.00	180.00	15.00	30.00	35.00	5.00	880.00	20	47	24668	650
Taylorville	3.00	28.00	330.00	172.00	0.00	90.00	135.00	77	138	14712	1302
Vandalia	42.00	275.00	240.00	110.00	85.00	65.00	86.00	28	0	15220	1785
Vienna
67.00	224.00	864.00	90.00	5.00	208.00	58.00	3	331	3320	1541
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	20.00	235.00	1310.00	120.00	265.00	280.00	59.00	179	158	15824	1462
Fox Valley ATC	22.00	0.00	357.00	0.00	0.00	0.00	0.00	7	3	1528	206
Peoria ATC
15.00	2.00	258.00	0.00	0.00	2.00	2.00	3	0	1400	97
 

