CHEMICAL MASTER INVENTORY
DATE:	8/10/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	61.00	446.95	574.75	111.43	1.00	17.34	156.00	221	156	14340	1508
Centralia	2.00	270.00	614.00	55.00	20.00	217.00	160.00	83	159	7000	1472
Danville	151.50	275.00	172.75	46.50	150.00	111.00	59.00	376	353	11775	96
Decatur	23.00	204.00	129.00	126.00	52.00	15.00	55.00	98	36	9668	752
Dixon
116.00	0.00	199.00	110.00	0.00	55.00	130.00	168	206	3500	2378
East Moline	67.00	95.00	198.00	269.00	103.00	353.00	42.00	0	342	13580	1051
Graham	26.00	108.25	315.50	112.50	65.75	43.75	182.75	258	108	14948	1663
Hill	38.00	216.00	266.00	55.00	0.00	0.00	85.00	126	187	13600	2588
Illinois River	85.68	275.00	85.00	165.00	0.00	110.00	110.00	132	84	7000	0
Jacksonville
31.50	275.00	991.00	294.00	144.50	174.00	52.00	431	52	15486	1061
Pittsfield WC	4.00	0.00	26.00	8.00	163.25	16.00	0.00	34	0	2806	91
JTC	25.00	37.00	215.00	98.00	0.00	88.00	71.00	0	226	7600	704
Elgin	11.00	0.00	70.00	26.00	0.00	28.00	52.00	11	44	2413	446
Kewanee	28.00	214.00	336.00	143.00	84.00	54.00	86.00	18	65	9140	921
Lawrence
63.75	0.00	115.00	110.00	0.00	358.00	104.00	215	274	18506	1655
Lincoln	48.00	263.00	804.00	150.00	270.00	165.00	59.00	18	138	13600	1448
Logan	40.00	0.00	256.00	27.00	0.00	4.00	220.00	120	0	12280	2796
Menard	57.00	211.00	339.50	242.00	0.00	121.00	96.00	165	59	17380	3311
Pinckneyville	79.00	159.00	992.00	165.00	0.00	180.00	110.00	0	51	13679	1662
Murphysboro
12.00	200.00	103.00	10.00	25.00	185.00	189.00	18	131	5000	171
Pontiac	82.00	275.00	345.00	124.00	51.00	45.00	115.00	90	78	17650	3239
Robinson	48.00	273.00	372.00	110.00	11.00	40.00	32.00	0	42	9980	1413
Shawnee	36.00	275.00	174.00	110.00	24.00	70.00	84.00	210	143	6676	1718
Sheridan	52.00	275.00	244.00	55.00	0.00	55.00	110.00	153	0	12655	2065
SWICC
30.00	146.00	117.00	159.00	4.00	135.00	55.00	0	0	12560	1128
Stateville	7.00	168.00	4.00	22.50	81.00	0.00	43.00	458	108	725	5
Stateville NRC	52.00	165.00	2.00	20.00	32.00	5.00	880.00	20	45	24668	650
Taylorville	3.00	28.00	330.00	172.00	0.00	90.00	135.00	77	138	14712	1302
Vandalia	42.00	260.00	225.00	110.00	85.00	44.00	76.00	24	0	15020	1774
Vienna
62.00	216.00	864.00	90.00	5.00	208.00	58.00	3	264	8320	1537
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	20.00	220.00	1285.00	120.00	265.00	260.00	59.00	179	158	12954	1462
Fox Valley ATC	22.00	0.00	357.00	0.00	0.00	0.00	0.00	7	3	1528	202
Peoria ATC
15.00	2.00	258.00	0.00	0.00	2.00	2.00	3	0	1860	97
 

