CHEMICAL MASTER INVENTORY
DATE:	6/14/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	511.20	358.25	125.93	128.00	24.34	156.00	221	168	4240	1686
Centralia	0.00	270.00	272.00	122.00	20.00	130.00	160.00	84	159	10460	1814
Danville	122.50	275.00	364.25	79.00	150.00	111.00	59.00	176	82	22027	108
Decatur	0.00	254.00	276.00	138.00	74.00	45.00	55.00	117	36	10388	799
Dixon
0.00	104.00	254.00	110.00	0.00	110.00	130.00	168	206	20000	2499
East Moline	0.00	151.00	773.00	605.00	104.00	715.00	55.00	6	438	27580	1265
Graham	0.00	218.50	473.25	155.00	98.50	25.25	182.75	288	108	12048	1697
Hill	0.00	216.00	535.00	110.00	55.00	110.00	90.00	126	189	12200	2692
Illinois River	10.00	275.00	318.00	165.00	0.00	110.00	110.00	132	91	6100	1916
Jacksonville
0.00	275.00	224.00	298.00	158.00	174.00	55.00	432	52	14946	1166
Pittsfield WC	0.00	0.00	67.75	8.75	163.75	23.00	0.00	37	0	5080	136
JTC	0.00	156.00	320.00	115.00	0.00	100.00	104.00	0	270	9273	1071
Elgin	0.00	0.00	77.00	20.00	0.00	0.00	55.00	12	20	2450	469
Kewanee	0.00	250.00	376.00	153.00	98.00	59.00	104.00	18	96	8640	954
Lawrence
3.75	138.00	301.00	110.00	0.00	398.00	104.00	215	283	9848	1881
Lincoln	4.25	275.00	216.00	177.00	15.00	180.00	58.00	36	162	15300	1480
Logan	1.00	0.00	473.00	114.00	0.00	4.00	220.00	0	0	12080	2937
Menard	0.00	275.00	514.00	146.00	0.00	95.00	107.50	180	127	8469	3410
Pinckneyville	51.00	214.00	792.00	220.00	0.00	320.00	220.00	0	51	11859	1785
Murphysboro
0.00	250.00	102.00	2.00	30.00	205.00	202.00	24	127	2200	271
Pontiac	0.00	275.00	450.00	130.00	61.00	90.00	117.00	96	186	9820	3361
Robinson	4.00	275.00	429.00	110.00	20.00	45.00	70.00	0	0	6080	1419
Shawnee	42.00	275.00	378.00	110.00	24.00	70.00	90.00	7	153	6636	1789
Sheridan	0.00	275.00	388.00	140.00	0.00	110.00	135.00	204	44	8376	2283
SWICC
0.00	233.00	238.00	159.00	24.00	41.00	55.00	0	0	7760	1155
Stateville	2.00	245.00	161.00	108.50	177.00	15.50	46.00	620	141	8561	50
Stateville NRC	0.00	220.00	569.00	145.00	66.00	5.00	880.00	40	78	24868	845
Taylorville	3.00	165.00	309.00	172.00	0.00	98.00	157.00	77	138	20672	1385
Vandalia	0.00	275.00	391.00	110.00	85.00	124.00	145.00	0	56	21520	1797
Vienna
8.25	252.00	273.00	98.00	10.00	16.00	88.00	0	178	9800	1500
Dixon Springs IIP	0.00	2.25	43.75	0.00	0.00	7.25	0.00	7	0	2366	145
Western Illinois	2.00	260.00	1439.00	120.00	275.00	450.00	129.00	186	158	1247	1541
Fox Valley ATC	0.00	0.00	370.00	0.00	0.00	0.00	0.00	7	3	388	209
Peoria ATC
0.00	0.00	266.00	0.00	0.00	4.00	4.00	8	0	1470	154
 

