CHEMICAL MASTER INVENTORY
DATE:	8/2/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	62.00	458.45	588.25	115.43	2.00	18.34	156.00	221	156	11840	1554
Centralia	2.00	270.00	632.00	55.00	20.00	70.00	160.00	83	159	6200	1472
Danville	152.00	275.00	188.25	9.50	150.00	111.00	59.00	176	82	12435	96
Decatur	26.00	215.00	154.00	126.00	52.00	20.00	55.00	98	36	9268	752
Dixon
117.00	0.00	306.00	110.00	0.00	55.00	130.00	168	206	0	2434
East Moline	72.00	95.00	236.00	283.00	104.00	353.00	42.00	6	342	13780	1086
Graham	36.00	121.50	338.25	124.25	72.25	49.50	182.75	258	108	9948	1674
Hill	39.00	216.00	320.00	110.00	0.00	55.00	85.00	126	187	16000	2642
Illinois River	85.68	275.00	114.00	165.00	0.00	110.00	110.00	132	87	3800	1863
Jacksonville
10.00	275.00	991.00	304.00	149.75	174.00	55.00	431	52	12486	1089
Pittsfield WC	4.00	0.00	43.50	924.75	164.50	20.00	0.00	34	0	2806	93
JTC	26.00	47.00	236.00	101.00	0.00	100.00	78.00	0	237	7600	787
Elgin	11.00	0.00	75.00	12.00	0.00	0.00	52.00	11	20	2506	446
Kewanee	29.50	217.00	340.00	144.00	85.00	55.00	86.00	18	65	7540	926
Lawrence
65.75	0.00	175.00	110.00	0.00	358.00	104.00	215	274	17692	1677
Lincoln	48.00	263.00	804.00	158.00	270.00	165.00	55.00	18	138	13600	1448
Logan	40.00	0.00	271.00	52.00	0.00	4.00	220.00	120	0	10380	2800
Menard	57.00	220.00	229.50	247.50	0.00	122.00	101.00	166	80	13951	3340
Pinckneyville	79.00	159.00	1034.00	165.00	0.00	210.00	110.00	0	51	10913	1696
Murphysboro
17.00	215.00	115.00	10.00	30.00	185.00	189.00	18	132	4000	184
Pontiac	82.00	275.00	354.00	124.00	55.00	55.00	115.00	90	84	11750	3247
Robinson	48.00	275.00	382.00	110.00	11.00	40.00	38.00	0	0	9380	1413
Shawnee	39.00	275.00	174.00	110.00	24.00	70.00	84.00	210	149	6676	1720
Sheridan	47.00	275.00	244.00	55.00	0.00	110.00	110.00	178	0	12405	2069
SWICC
30.00	157.00	120.00	159.00	7.00	140.00	55.00	0	0	11560	1128
Stateville	7.00	193.00	14.00	30.50	93.00	0.00	44.00	460	110	725	5
Stateville NRC	59.00	180.00	12.00	35.00	35.00	5.00	880.00	24	49	23398	650
Taylorville	3.00	28.00	352.00	172.00	0.00	90.00	135.00	77	138	13212	1302
Vandalia	42.00	275.00	255.00	110.00	85.00	78.00	86.00	28	0	14920	1785
Vienna
67.00	224.00	892.00	94.00	9.00	32.00	58.00	3	93	3320	1541
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	21.00	245.00	1316.00	120.00	265.00	285.00	59.00	179	158	12000	1481
Fox Valley ATC	22.00	0.00	357.00	0.00	0.00	0.00	0.00	7	3	1556	206
Peoria ATC
16.00	2.00	258.00	0.00	0.00	2.00	2.00	3	0	1400	97
 

