CHEMICAL MASTER INVENTORY
DATE:	6/8/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	516.45	356.75	126.93	146.00	24.34	46.00	221	168	4040	1686
Centralia	0.00	270.00	266.00	122.00	20.00	130.00	50.00	84	159	9660	1850
Danville	122.50	275.00	382.25	36.00	150.00	109.00	59.00	176	82	20427	108
Decatur	0.00	256.00	285.00	138.00	75.00	50.00	55.00	117	36	10388	809
Dixon
1.00	155.00	284.00	110.00	0.00	110.00	130.00	174	206	20000	2545
East Moline	0.00	275.00	841.00	605.00	104.00	770.00	55.00	6	450	29580	1312
Graham	0.00	230.00	458.75	159.75	100.00	29.75	75.00	288	108	13948	1697
Hill	0.00	216.00	535.00	110.00	55.00	110.00	95.00	126	189	7400	2692
Illinois River	10.07	275.00	318.00	110.00	0.00	110.00	110.00	132	93	5900	1920
Jacksonville
0.00	275.00	224.00	0.00	158.25	174.00	55.00	432	52	15886	1208
Pittsfield WC	0.00	0.00	96.00	6.75	167.25	23.00	0.00	37	0	5334	138
JTC	0.00	170.00	324.00	118.00	0.00	100.00	111.00	0	275	9547	1116
Elgin	0.00	0.00	75.00	20.00	0.00	1.00	56.00	12	20	2488	472
Kewanee	0.00	252.00	373.00	153.00	99.00	59.00	105.00	24	102	8640	963
Lawrence
3.75	256.50	349.00	110.00	0.00	406.00	104.00	215	283	9528	1917
Lincoln	4.25	275.00	228.00	122.00	35.00	180.00	58.00	48	162	16500	1496
Logan	1.00	275.00	511.00	114.00	0.00	0.00	55.00	0	0	11480	2939
Menard	0.00	275.00	550.00	158.50	0.00	133.50	107.50	184	154	4507	3418
Pinckneyville	51.00	210.00	930.00	275.00	0.00	475.00	220.00	0	51	9760	1796
Murphysboro
0.00	260.00	108.00	2.00	30.00	210.00	207.00	24	127	2000	283
Pontiac	0.00	275.00	443.00	130.00	61.00	91.00	117.00	96	192	8820	3363
Robinson	4.00	275.00	421.00	110.00	20.00	45.00	73.00	0	0	3880	1419
Shawnee	46.00	275.00	390.00	110.00	24.00	70.00	90.00	25	153	6436	1789
Sheridan	0.00	275.00	376.00	140.00	0.00	110.00	135.00	204	44	4976	2310
SWICC
0.00	243.00	210.00	159.00	28.00	41.00	55.00	0	0	7760	1155
Stateville	2.00	245.00	35.00	123.00	180.00	27.00	46.00	620	141	8561	110
Stateville NRC	0.00	230.00	695.00	154.00	70.00	5.00	880.00	43	78	26833	852
Taylorville	3.00	185.00	292.00	172.00	0.00	98.00	47.00	77	138	21392	1397
Vandalia	0.00	275.00	393.00	110.00	85.00	139.00	35.00	30	60	20320	1809
Vienna
8.75	252.00	273.00	106.00	10.00	16.00	94.00	0	190	12000	1538
Dixon Springs IIP	0.00	2.25	44.50	0.00	0.00	7.50	0.00	7	0	2388	145
Western Illinois	2.00	260.00	1493.00	120.00	280.00	480.00	134.00	186	158	11047	1600
Fox Valley ATC	0.00	0.00	371.00	0.00	0.00	0.00	0.00	7	3	424	209
Peoria ATC
0.00	0.00	273.00	0.00	0.00	5.00	5.00	8	0	1505	158
 

