CHEMICAL MASTER INVENTORY
DATE:	7/12/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	15.00	483.45	619.00	122.93	68.00	24.34	156.00	221	162	9640	1591
Centralia	2.00	270.00	148.00	110.00	20.00	99.00	160.00	84	159	8000	1594
Danville	132.50	275.00	273.75	22.00	150.00	111.00	59.00	176	82	16192	96
Decatur	5.00	231.00	211.00	126.00	61.00	34.00	55.00	114	36	9328	762
Dixon
15.00	0.00	83.00	110.00	0.00	55.00	130.00	168	206	10020	2440
East Moline	35.00	123.00	485.00	407.00	104.00	532.00	42.00	6	414	21300	1124
Graham	10.00	162.25	403.25	138.50	86.25	7.75	182.75	276	108	3548	1697
Hill	8.00	216.00	396.00	110.00	0.00	110.00	85.00	126	189	8600	2642
Illinois River	85.68	275.00	180.00	165.00	0.00	110.00	110.00	132	87	3300	1874
Jacksonville
10.00	275.00	1002.50	370.00	152.75	174.00	55.00	431	52	14086	1113
Pittsfield WC	0.00	0.00	60.50	13.50	167.00	24.00	0.00	34	0	2614	93
JTC	10.00	105.00	291.00	107.00	0.00	100.00	93.00	0	249	8098	926
Elgin	5.00	0.00	67.00	17.00	0.00	0.00	52.00	12	20	2361	454
Kewanee	4.00	228.00	358.00	147.00	88.00	55.00	96.00	18	84	7440	935
Lawrence
18.75	0.00	259.00	110.00	0.00	358.00	104.00	215	274	7760	1743
Lincoln	13.00	271.00	30.00	173.00	0.00	170.00	58.75	24	150	13600	1470
Logan	21.00	0.00	498.00	0.00	0.00	4.00	220.00	0	0	6360	2826
Menard	25.00	257.00	351.50	132.50	0.00	133.00	103.50	184	83	12531	3369
Pinckneyville	64.00	214.00	714.00	220.00	0.00	295.00	165.00	0	51	13486	1755
Murphysboro
5.00	235.00	80.00	2.00	30.00	195.00	189.00	20	132	2600	220
Pontiac	20.00	275.00	393.00	124.00	57.00	70.00	115.00	90	126	5100	3317
Robinson	14.00	275.00	401.00	110.00	15.00	40.00	52.00	0	0	10880	1417
Shawnee	49.00	275.00	300.00	110.00	24.00	70.00	84.00	0	151	8676	1732
Sheridan	5.00	275.00	311.00	140.00	0.00	110.00	135.00	197	44	14651	2253
SWICC
6.00	195.00	222.00	159.00	15.00	35.00	55.00	0	0	9360	1130
Stateville	18.00	215.00	59.00	40.50	142.00	0.00	46.00	510	130	0	5
Stateville NRC	0.00	190.00	19.00	79.00	41.00	5.00	880.00	25	70	23968	705
Taylorville	3.00	86.00	345.00	172.00	0.00	98.00	147.00	77	138	15801	1335
Vandalia	10.00	275.00	306.00	110.00	85.00	49.00	129.00	0	0	17920	1791
Vienna
22.00	235.00	120.00	98.00	2.00	60.00	58.00	0	153	8400	1450
Dixon Springs IIP	0.00	1.50	40.00	0.00	0.00	7.00	0.00	7	0	2344	137
Western Illinois	2.00	260.00	1364.00	120.00	275.00	360.00	69.00	185	158	5743	1510
Fox Valley ATC	0.00	0.00	363.00	0.00	0.00	0.00	0.00	7	3	1062	209
Peoria ATC
10.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1237	135
 

