CHEMICAL MASTER INVENTORY
DATE:	6/1/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	523.25	374.75	126.93	165.00	24.34	46.00	221	168	4040	1692
Centralia	0.00	270.00	278.00	122.00	0.00	134.00	50.00	84	159	9960	1850
Danville	122.50	275.00	412.75	51.00	150.00	109.00	59.00	176	117	21792	115
Decatur	0.00	262.00	304.00	138.00	80.00	55.00	55.00	114	36	10388	809
Dixon
1.00	210.00	326.00	220.00	0.00	165.00	130.00	174	206	30680	2556
East Moline	0.00	275.00	877.00	660.00	104.00	770.00	55.00	6	474	31580	1357
Graham	0.00	245.50	477.25	166.75	100.00	33.75	24.50	288	108	10348	1697
Hill	0.00	216.00	619.00	165.00	55.00	110.00	40.00	126	189	5800	2694
Illinois River	10.19	275.00	372.00	110.00	0.00	110.00	110.00	132	93	5700	1926
Jacksonville
0.00	275.00	273.00	12.50	157.75	174.00	55.00	432	52	15886	1283
Pittsfield WC	0.00	0.00	99.00	11.50	168.25	15.00	0.00	37	0	4334	103
JTC	0.00	186.00	334.00	120.00	0.00	100.00	117.00	0	276	9819	1130
Elgin	0.00	0.00	78.00	20.00	0.00	3.00	58.00	12	21	2490	476
Kewanee	0.00	257.00	374.00	154.00	99.00	59.00	106.00	24	114	8640	968
Lawrence
3.75	245.50	348.00	110.00	0.00	406.00	104.00	215	283	16152	1916
Lincoln	4.25	275.00	240.00	122.00	35.00	205.00	58.00	48	186	16700	1506
Logan	1.00	275.00	604.00	114.00	0.00	0.00	55.00	0	0	12280	2945
Menard	0.00	275.00	344.00	158.00	0.00	160.50	107.50	190	178	4774	3422
Pinckneyville	51.00	210.00	930.00	275.00	0.00	475.00	220.00	0	51	11968	1802
Murphysboro
0.00	270.00	84.00	2.00	30.00	210.00	207.00	26	127	2200	296
Pontiac	0.00	275.00	451.00	130.00	61.00	105.00	117.00	96	210	11060	3376
Robinson	4.00	275.00	433.00	110.00	25.00	50.00	78.00	0	0	3480	1419
Shawnee	46.00	275.00	390.00	110.00	24.00	70.00	90.00	25	153	3236	1800
Sheridan	0.00	275.00	412.00	140.00	0.00	110.00	135.00	204	44	7976	2429
SWICC
0.00	249.00	279.00	159.00	31.00	43.00	55.00	0	0	8960	1166
Stateville	2.00	250.00	61.00	92.00	125.00	47.00	46.00	626	141	9716	120
Stateville NRC	0.00	250.00	947.00	298.00	153.00	42.00	880.00	48	78	31300	867
Taylorville	3.00	215.00	326.00	172.00	0.00	98.00	47.00	77	138	21712	1397
Vandalia	0.00	275.00	408.00	110.00	85.00	163.00	49.00	43	60	19120	1809
Vienna
9.00	256.00	371.00	106.00	14.00	20.00	94.00	36	190	10200	1546
Dixon Springs IIP	0.00	2.50	45.25	0.00	0.00	7.50	0.00	7	0	2432	145
Western Illinois	2.00	265.00	1517.00	120.00	285.00	525.00	144.00	186	164	16023	1622
Fox Valley ATC	0.00	0.00	374.00	0.00	0.00	0.00	0.00	7	3	460	212
Peoria ATC
0.00	0.00	273.00	0.00	0.00	5.00	5.00	8	0	1520	165
 

