CHEMICAL MASTER INVENTORY
DATE:	6/25/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	15.00	499.20	640.50	124.68	104.00	24.34	156.00	221	168	11840	1601
Centralia	2.00	270.00	212.00	110.00	20.00	113.00	160.00	84	159	9083	1714
Danville	132.50	275.00	332.75	52.00	150.00	111.00	59.00	176	82	19077	96
Decatur	0.00	244.00	245.00	126.00	69.00	35.00	55.00	114	36	10388	762
Dixon
15.00	60.00	141.00	110.00	0.00	55.00	130.00	168	206	10064	2478
East Moline	51.00	0.00	696.00	481.00	104.00	605.00	42.00	6	414	25580	1177
Graham	10.00	195.50	444.75	147.00	93.25	18.00	182.75	288	108	7148	1697
Hill	0.00	216.00	613.00	165.00	0.00	0.00	42.00	126	190	2600	544
Illinois River	85.68	275.00	270.00	165.00	0.00	110.00	110.00	132	90	9500	1898
Jacksonville
10.00	275.00	96.00	108.00	155.75	174.00	55.00	432	52	14786	1144
Pittsfield WC	0.00	0.00	79.00	5.75	169.00	20.00	0.00	34	0	2949	95
JTC	10.00	134.00	301.00	112.00	0.00	100.00	96.00	0	263	8276	1014
Elgin	0.00	0.00	71.00	20.00	0.00	0.00	53.00	12	20	2400	464
Kewanee	4.50	238.00	366.00	149.00	92.00	57.00	101.00	18	96	8640	949
Lawrence
18.75	114.00	301.00	110.00	0.00	398.00	104.00	215	283	18204	1809
Lincoln	14.25	275.00	198.00	173.00	15.00	170.00	58.00	36	162	14400	1480
Logan	21.00	0.00	348.00	4.00	0.00	4.00	220.00	0	0	9880	2826
Menard	25.00	265.00	414.00	146.50	0.00	151.00	104.00	185	106	17608	3390
Pinckneyville	64.00	214.00	750.00	220.00	0.00	305.00	220.00	0	51	16059	1775
Murphysboro
5.00	245.00	96.00	2.00	30.00	200.00	198.00	22	138	2600	248
Pontiac	20.00	275.00	430.00	126.00	57.00	78.00	115.00	95	162	7020	3347
Robinson	14.00	275.00	416.00	110.00	20.00	40.00	66.00	0	0	11880	1417
Shawnee	55.00	275.00	318.00	110.00	24.00	70.00	90.00	0	153	11136	1760
Sheridan	15.00	275.00	339.00	110.00	0.00	110.00	135.00	204	44	12376	2274
SWICC
10.00	225.00	237.00	159.00	20.00	38.00	55.00	0	0	10160	1137
Stateville	6.00	240.00	15.00	66.50	158.00	0.00	46.00	594	130	1261	17
Stateville NRC	0.00	215.00	375.00	125.00	54.00	5.00	880.00	34	78	22168	820
Taylorville	3.00	131.00	252.00	172.00	0.00	98.00	150.00	77	138	17232	1360
Vandalia	10.00	275.00	355.00	110.00	85.00	84.00	145.00	0	24	20720	1795
Vienna
22.25	235.00	199.00	98.00	6.00	72.00	74.00	0	166	10200	1461
Dixon Springs IIP	0.00	1.50	42.00	0.00	0.00	7.00	0.00	7	0	2344	141
Western Illinois	2.00	260.00	1388.00	120.00	275.00	365.00	84.00	185	158	10000	1517
Fox Valley ATC	0.00	0.00	366.00	0.00	0.00	0.00	0.00	7	3	1146	209
Peoria ATC
5.00	2.00	264.00	0.00	0.00	4.00	4.00	7	0	1394	152
 

