CHEMICAL MASTER INVENTORY
DATE:	6/3/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	0.00	521.35	370.25	126.93	159.00	24.34	46.00	221	168	4040	1686
Centralia	0.00	270.00	278.00	122.00	0.00	134.00	50.00	84	159	9960	1850
Danville	122.50	275.00	392.75	45.00	150.00	109.00	59.00	176	82	20307	115
Decatur	0.00	259.00	300.00	138.00	80.00	55.00	55.00	117	36	10388	836
Dixon
1.00	210.00	326.00	220.00	0.00	165.00	130.00	174	206	30680	2554
East Moline	0.00	275.00	873.00	660.00	104.00	770.00	55.00	6	474	31580	1328
Graham	0.00	242.50	471.25	164.75	100.00	32.50	23.25	288	108	10348	1697
Hill	0.00	216.00	607.00	165.00	55.00	110.00	95.00	126	189	9000	2694
Illinois River	10.07	275.00	372.00	110.00	0.00	110.00	110.00	132	93	8900	1923
Jacksonville
0.00	275.00	267.50	5.50	158.50	174.00	55.00	432	52	15886	1231
Pittsfield WC	0.00	0.00	91.75	11.25	168.25	15.00	0.00	37	0	4334	103
JTC	0.00	186.00	333.00	120.00	0.00	100.00	117.00	0	275	9547	1129
Elgin	0.00	0.00	76.00	20.00	0.00	3.00	58.00	12	21	2490	475
Kewanee	0.00	257.00	374.00	154.00	99.00	59.00	106.00	24	102	8640	968
Lawrence
3.75	256.50	349.00	110.00	0.00	406.00	104.00	215	283	13203	1930
Lincoln	4.25	275.00	240.00	122.00	35.00	185.00	58.00	48	162	16500	1496
Logan	1.00	275.00	513.00	114.00	0.00	0.00	55.00	0	0	15280	2940
Menard	0.00	275.00	327.00	155.00	0.00	155.50	107.50	188	159	2127	3422
Pinckneyville	51.00	210.00	930.00	275.00	0.00	475.00	220.00	0	51	11968	1798
Murphysboro
0.00	265.00	84.00	2.00	30.00	210.00	207.00	26	127	2200	292
Pontiac	0.00	275.00	447.00	130.00	61.00	105.00	117.00	96	203	10460	3369
Robinson	4.00	275.00	433.00	110.00	25.00	50.00	78.00	0	0	3480	1419
Shawnee	46.00	275.00	390.00	110.00	24.00	70.00	90.00	25	153	3236	1789
Sheridan	0.00	275.00	376.00	140.00	0.00	110.00	135.00	204	44	9876	2405
SWICC
0.00	249.00	273.00	159.00	30.00	43.00	55.00	0	0	8960	1166
Stateville	2.00	250.00	137.00	139.00	180.00	41.00	46.00	620	141	9716	120
Stateville NRC	0.00	240.00	793.00	227.00	94.00	34.00	880.00	43	78	30278	867
Taylorville	3.00	215.00	326.00	172.00	0.00	98.00	47.00	77	138	21392	1397
Vandalia	0.00	275.00	404.00	110.00	85.00	156.00	49.00	41	60	18320	1809
Vienna
9.00	252.00	273.00	106.00	10.00	16.00	94.00	0	190	10200	1543
Dixon Springs IIP	0.00	2.50	45.50	0.00	0.00	7.50	0.00	7	0	2432	145
Western Illinois	2.00	260.00	1517.00	120.00	280.00	515.00	134.00	186	164	16023	1607
Fox Valley ATC	0.00	0.00	373.00	0.00	0.00	0.00	0.00	7	3	424	209
Peoria ATC
0.00	0.00	273.00	0.00	0.00	5.00	5.00	8	0	1523	165
 

