CHEMICAL MASTER INVENTORY
DATE:	7/7/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	15.00	488.20	625.50	122.93	77.00	24.34	156.00	221	162	9640	1601
Centralia	2.00	270.00	172.00	110.00	20.00	99.00	160.00	84	159	6200	1624
Danville	132.50	275.00	284.25	31.00	150.00	111.00	59.00	176	82	17627	96
Decatur	5.00	232.00	213.00	126.00	62.00	35.00	55.00	114	36	9328	762
Dixon
15.00	60.00	99.00	110.00	0.00	55.00	130.00	168	206	6020	2461
East Moline	35.00	165.00	594.00	425.00	104.00	601.00	42.00	6	414	23300	1128
Graham	10.00	171.00	415.75	141.00	88.75	11.25	182.75	276	108	3548	1697
Hill	0.00	216.00	613.00	165.00	0.00	0.00	42.00	126	190	2600	544
Illinois River	85.68	275.00	204.00	165.00	0.00	110.00	110.00	132	87	3300	1877
Jacksonville
10.00	275.00	15.50	32.00	153.25	174.00	55.00	431	52	14786	1152
Pittsfield WC	0.00	0.00	66.75	14.25	167.00	24.00	0.00	34	0	2726	93
JTC	10.00	105.00	293.00	109.00	0.00	100.00	94.00	0	250	8098	956
Elgin	5.00	0.00	67.00	17.00	0.00	0.00	52.00	12	20	2380	454
Kewanee	4.00	230.00	360.00	147.00	88.00	57.00	98.00	18	84	7440	937
Lawrence
18.75	2.00	259.00	110.00	0.00	358.00	104.00	215	274	10962	1768
Lincoln	14.25	275.00	30.00	173.00	0.00	170.00	58.00	24	150	11600	1480
Logan	21.00	0.00	516.00	0.00	0.00	4.00	220.00	0	0	6520	2826
Menard	25.00	257.00	368.00	127.00	0.00	137.00	104.00	182	89	10828	3372
Pinckneyville	64.00	214.00	714.00	220.00	0.00	295.00	165.00	0	51	13014	1765
Murphysboro
5.00	235.00	86.00	2.00	30.00	195.00	189.00	20	132	2600	228
Pontiac	20.00	275.00	397.00	124.00	57.00	75.00	115.00	90	132	3100	3324
Robinson	14.00	275.00	406.00	110.00	15.00	40.00	56.00	0	0	10280	1417
Shawnee	49.00	275.00	300.00	110.00	24.00	70.00	90.00	0	153	8336	1744
Sheridan	10.00	275.00	316.00	140.00	0.00	110.00	135.00	202	44	11251	2253
SWICC
8.00	199.00	225.00	159.00	15.00	35.00	55.00	0	0	10160	1130
Stateville	24.00	220.00	9.00	49.50	150.00	0.00	46.00	535	130	1261	5
Stateville NRC	0.00	190.00	26.00	92.00	41.00	5.00	880.00	25	78	20968	740
Taylorville	3.00	110.00	210.00	172.00	0.00	98.00	147.00	77	138	15801	1335
Vandalia	10.00	275.00	325.00	110.00	85.00	55.00	129.00	0	0	17920	1795
Vienna
22.00	235.00	120.00	98.00	2.00	60.00	58.00	0	153	6600	1450
Dixon Springs IIP	0.00	1.50	40.00	0.00	0.00	7.00	0.00	7	0	2344	137
Western Illinois	2.00	260.00	1388.00	120.00	275.00	365.00	79.00	185	158	5547	1517
Fox Valley ATC	0.00	0.00	365.00	0.00	0.00	0.00	0.00	7	3	1104	208
Peoria ATC
5.00	2.00	262.00	0.00	0.00	3.00	2.00	3	0	1314	141
 

