CHEMICAL MASTER INVENTORY
DATE:	7/22/2020
*Reported totals indicated by gallon	*Reported by Individual Quantity
CITRAL 	Hand 
Hand 	ZEP RTU 	Industrial 	ARC 	Green 	Foaming Hand Soap 	Anti-Bacterial Soap 	Sanitizer 
Sanitizer           	Disinfectant	Bleach	Cleaner	Cleaner	Cleaner	Hydrogen Peroxide	Bottles/Cartridges	Bottles/Cartridges	Bar Soap	Bottles
Big Muddy River  	30.00	471.45	602.00	120.18	14.00	18.34	156.00	221	156	12040	1579
Centralia	2.00	270.00	131.00	55.00	20.00	91.00	160.00	84	159	10800	1524
Danville	132.50	275.00	234.75	13.00	150.00	111.00	59.00	176	82	14765	96
Decatur	14.00	221.00	190.00	126.00	52.00	29.00	55.00	107	36	10008	754
Dixon
37.00	0.00	361.00	110.00	0.00	55.00	130.00	168	206	10401	2384
East Moline	55.00	95.00	387.00	379.00	104.00	449.00	42.00	6	414	17580	1091
Graham	25.00	143.50	374.25	131.50	81.00	57.00	182.75	258	108	3948	1676
Hill	22.00	216.00	348.00	110.00	0.00	55.00	85.00	126	187	20300	2642
Illinois River	85.68	275.00	156.00	165.00	0.00	110.00	110.00	132	87	3800	1864
Jacksonville
10.00	275.00	998.00	337.50	151.75	174.00	55.00	431	52	13286	1098
Pittsfield WC	0.00	0.00	54.00	12.00	165.00	20.00	0.00	34	0	2414	93
JTC	19.00	78.00	258.00	105.00	0.00	100.00	86.00	0	241	7700	851
Elgin	5.00	0.00	79.00	14.00	0.00	0.00	52.00	11	20	2533	449
Kewanee	18.00	221.00	347.00	145.00	85.00	55.00	89.00	18	72	7140	932
Lawrence
33.75	0.00	217.00	110.00	0.00	358.00	104.00	215	274	11228	1699
Lincoln	28.00	265.00	48.00	173.00	0.00	170.00	59.00	18	150	13600	1470
Logan	36.00	0.00	441.00	0.00	0.00	4.00	220.00	0	0	6280	2814
Menard	25.00	248.00	346.00	135.00	0.00	126.00	103.00	171	108	11918	3356
Pinckneyville	79.00	159.00	1076.00	165.00	0.00	230.00	110.00	0	51	14179	1713
Murphysboro
11.00	215.00	121.00	10.00	30.00	195.00	189.00	20	132	3200	203
Pontiac	50.00	275.00	370.00	124.00	56.00	60.00	115.00	90	102	5050	3299
Robinson	23.00	275.00	388.00	110.00	11.00	40.00	42.00	0	0	9880	1417
Shawnee	42.00	275.00	300.00	110.00	24.00	70.00	84.00	0	151	9876	1711
Sheridan	16.00	275.00	280.00	55.00	0.00	110.00	110.00	197	0	12305	2064
SWICC
31.00	179.00	198.00	159.00	12.00	32.00	55.00	0	0	10560	1130
Stateville	14.00	204.00	9.00	31.50	114.00	0.00	46.00	481	116	3000	5
Stateville NRC	56.00	185.00	18.00	61.00	41.00	5.00	880.00	24	55	22068	665
Taylorville	3.00	68.00	383.00	172.00	0.00	90.00	147.00	77	138	13576	1335
Vandalia	22.00	275.00	284.00	110.00	85.00	19.00	97.00	0	0	15120	1785
Vienna
35.00	224.00	76.00	98.00	9.00	56.00	58.00	3	93	6720	1585
Dixon Springs IIP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0
Western Illinois	17.00	260.00	1364.00	120.00	265.00	310.00	59.00	185	158	3073	1492
Fox Valley ATC	15.00	0.00	361.00	0.00	0.00	0.00	0.00	7	3	1584	209
Peoria ATC
10.00	2.00	263.00	0.00	0.00	3.00	2.00	3	0	1491	126
 

